fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.73537236
0.025,0.05,0.7036538
0.05,0.05,0.7029933
0.05,0.075,0.7023584
0.1,0.075,0.7011683
0.1,0.1,0.7011057
0.125,0.1,0.70100456
0.125,0.2,0.69883215
0.175,0.2,0.69730127
0.175,0.225,0.6923149
0.2,0.225,0.6877955
0.2,0.25,0.6637531
0.225,0.25,0.6465901
0.225,0.3,0.63954943
0.25,0.3,0.63271964
0.25,0.325,0.6323673
0.325,0.325,0.6198128
0.325,0.4,0.6146715
0.35,0.4,0.61378443
0.35,0.425,0.6133404
0.375,0.425,0.61189467
0.375,0.5,0.61076987
0.4,0.5,0.6087072
0.4,0.55,0.60821015
0.425,0.55,0.6059322
0.425,0.6,0.60235465
0.525,0.6,0.5956813
0.525,0.675,0.5923359
0.6,0.675,0.58882165
0.6,0.7,0.5883404
0.675,0.7,0.5859562
0.675,0.8,0.54041594
0.7,0.8,0.53735936
0.7,0.85,0.52744746
0.725,0.85,0.5272096
0.725,0.925,0.52611756
0.775,0.925,0.5095302
0.775,0.975,0.5067602
0.8,0.975,0.47821212
0.8,1.0,0.37301552
1.0,1.0,0.0002461718
