fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.64441514
0.0,0.05,0.64208746
0.025,0.05,0.63702404
0.025,0.175,0.6284919
0.075,0.175,0.62329894
0.075,0.2,0.6161008
0.1,0.2,0.6072778
0.1,0.225,0.59839433
0.125,0.225,0.59711903
0.125,0.275,0.5912409
0.15,0.275,0.578582
0.15,0.3,0.56539834
0.2,0.3,0.55734926
0.2,0.325,0.55539256
0.325,0.325,0.5155804
0.325,0.375,0.5108039
0.35,0.375,0.51010716
0.35,0.425,0.5090726
0.425,0.425,0.47059855
0.425,0.525,0.44149652
0.475,0.525,0.440977
0.475,0.55,0.44090348
0.5,0.55,0.44086373
0.5,0.625,0.43987063
0.65,0.625,0.43793622
0.65,0.675,0.4335907
0.7,0.675,0.43174437
0.7,0.7,0.4309564
0.725,0.7,0.4309165
0.725,0.75,0.4268055
0.75,0.75,0.42597914
0.75,0.775,0.42573294
0.775,0.775,0.42176878
0.775,0.9,0.41509128
0.825,0.9,0.41270262
0.825,0.95,0.4096094
0.875,0.95,0.4078201
0.875,1.0,0.2401526
1.0,1.0,0.0175186
