fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.5936858
0.025,0.025,0.5853963
0.05,0.025,0.5845163
0.05,0.1,0.57193464
0.1,0.1,0.5673568
0.1,0.175,0.55904645
0.125,0.175,0.5586712
0.125,0.2,0.55374223
0.175,0.2,0.54212147
0.175,0.225,0.5393786
0.2,0.225,0.53011626
0.2,0.325,0.52613294
0.225,0.325,0.5252558
0.225,0.35,0.524999
0.25,0.35,0.5247122
0.25,0.4,0.5238277
0.275,0.4,0.5238258
0.275,0.425,0.5238192
0.3,0.425,0.52289927
0.3,0.45,0.52231246
0.375,0.45,0.52010745
0.375,0.5,0.51816595
0.45,0.5,0.51251966
0.45,0.55,0.508276
0.475,0.55,0.50753486
0.475,0.6,0.50670207
0.5,0.6,0.50660443
0.5,0.625,0.5064234
0.55,0.625,0.506292
0.55,0.675,0.50607526
0.575,0.675,0.5060562
0.575,0.7,0.5057948
0.625,0.7,0.50299656
0.625,0.725,0.5000215
0.725,0.725,0.4959365
0.725,0.75,0.4953803
0.75,0.75,0.49378565
0.75,0.775,0.4930368
0.825,0.775,0.4914822
0.825,0.8,0.4907878
0.875,0.8,0.47646534
0.875,0.825,0.47200865
0.925,0.825,0.43737653
0.925,0.85,0.42658904
0.95,0.85,0.42354965
0.95,0.975,0.41033614
1.0,0.975,0.40099776
1.0,1.0,0.3966606
