fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6328272
0.025,0.1,0.60979754
0.05,0.1,0.6090242
0.05,0.15,0.59995747
0.1,0.15,0.5917876
0.1,0.2,0.5906363
0.125,0.2,0.590392
0.125,0.275,0.58665895
0.15,0.275,0.5860452
0.15,0.375,0.5813589
0.175,0.375,0.5797968
0.175,0.4,0.57958215
0.325,0.4,0.5741812
0.325,0.425,0.5725093
0.35,0.425,0.5723659
0.35,0.525,0.5501215
0.4,0.525,0.52282417
0.4,0.65,0.52065367
0.425,0.65,0.5205585
0.425,0.675,0.5201465
0.475,0.675,0.5060973
0.475,0.7,0.46791825
0.55,0.7,0.40324053
0.55,0.9,0.36194402
0.6,0.9,0.35692036
0.6,0.925,0.35456333
0.725,0.925,0.34585783
0.725,0.95,0.34360746
0.775,0.95,0.33510098
0.775,1.0,0.26563883
1.0,1.0,0.014755466
