strategy,auxiliary_target_count,shots,contrast,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,tpr_at_0_1pct_fpr_difference_median,tpr_at_0_1pct_fpr_difference_q05,tpr_at_0_1pct_fpr_difference_q95,actual_fpr_difference_median,actual_fpr_difference_q05,actual_fpr_difference_q95,calibrated_tpr_difference_median,calibrated_tpr_difference_q05,calibrated_tpr_difference_q95
cross_cell_12,12,1024,affine_minus_loss,10,0.025493333333333368,0.018188888888888997,0.032682644444444416,0.0013333333333333335,0.0003,0.003033333333333333,-0.002666666666666667,-0.005033333333333332,-0.00030000000000000046,0.017666666666666667,0.014166666666666668,0.019333333333333334
cross_cell_12,12,1024,affine_minus_mismatched_lira,10,0.008653111111111167,0.0032034666666666545,0.012439199999999961,-0.001,-0.003033333333333333,0.0010333333333333325,-0.0010000000000000009,-0.004566666666666667,0.002,0.008,0.005933333333333333,0.013166666666666663
cross_cell_12,12,128,affine_minus_loss,10,0.012727222222222279,-0.0076760444444444464,0.023125311111111015,0.004333333333333333,0.00016666666666666653,0.0063666666666666654,0.0,-0.003033333333333333,0.0033999999999999985,0.014333333333333333,0.0103,0.0157
cross_cell_12,12,128,affine_minus_mismatched_lira,10,0.006210666666666698,0.00053517777777774,0.018976911111111112,0.005333333333333334,0.0012000000000000001,0.007333333333333333,-0.005999999999999999,-0.0102,-0.0012666666666666677,0.006666666666666667,0.0009666666666666658,0.009766666666666665
cross_cell_12,12,512,affine_minus_loss,10,0.021031333333333346,0.013717800000000025,0.025990822222222182,0.002666666666666667,0.0006666666666666666,0.004,-0.000666666666666667,-0.004733333333333334,0.00036666666666666564,0.01633333333333333,0.0129,0.020366666666666665
cross_cell_12,12,512,affine_minus_mismatched_lira,10,0.007693111111111095,0.0020320666666666766,0.01563002222222229,0.0006666666666666668,-0.0034666666666666665,0.0019999999999999996,-0.002333333333333334,-0.005033333333333333,0.0010333333333333336,0.009333333333333334,0.004899999999999999,0.01383333333333333
cross_cell_2,2,1024,affine_minus_loss,10,0.02433000000000002,0.016783977777777844,0.030985566666666634,0.0013333333333333335,0.0003,0.0033999999999999985,-0.013,-0.014183333333333333,-0.011116666666666667,0.009000000000000001,0.006816666666666668,0.011033333333333332
cross_cell_2,2,1024,affine_minus_mismatched_lira,10,0.007221777777777799,0.0015900333333333156,0.010619588888888884,-0.0010000000000000002,-0.002666666666666667,0.000733333333333332,-0.0009999999999999996,-0.0030999999999999995,0.0008499999999999994,0.007833333333333335,0.006783333333333332,0.010433333333333331
cross_cell_2,2,128,affine_minus_loss,10,0.012189111111111123,-0.008501911111111062,0.022632399999999924,0.003333333333333333,0.00016666666666666653,0.005033333333333332,-0.0028333333333333335,-0.006066666666666667,3.333333333333221e-05,0.012666666666666665,0.010416666666666664,0.014666666666666665
cross_cell_2,2,128,affine_minus_mismatched_lira,10,0.005762555555555576,-5.755555555630879e-06,0.01813884444444446,0.004333333333333333,0.0012000000000000001,0.0060666666666666655,-0.010000000000000002,-0.014433333333333333,-0.004633333333333335,0.0035,-0.0012500000000000015,0.0056999999999999985
