strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_12,12,0,1024,affine_minus_loss,10,0.025493333333333368,0.0013333333333333335,-0.002666666666666667,0.017666666666666667
cross_cell_12,12,0,1024,affine_minus_mismatched_lira,10,0.008653111111111167,-0.001,-0.0010000000000000009,0.008
cross_cell_12,12,0,128,affine_minus_loss,10,0.012727222222222279,0.004333333333333333,0.0,0.014333333333333333
cross_cell_12,12,0,128,affine_minus_mismatched_lira,10,0.006210666666666698,0.005333333333333334,-0.005999999999999999,0.006666666666666667
cross_cell_12,12,0,512,affine_minus_loss,10,0.021031333333333346,0.002666666666666667,-0.000666666666666667,0.01633333333333333
cross_cell_12,12,0,512,affine_minus_mismatched_lira,10,0.007693111111111095,0.0006666666666666668,-0.002333333333333334,0.009333333333333334
cross_cell_2,2,0,1024,affine_minus_loss,10,0.017867777777777816,0.001,-0.023666666666666666,-0.0033333333333333322
cross_cell_2,2,0,1024,affine_minus_mismatched_lira,10,0.0019751111111111497,-0.0016666666666666668,0.001666666666666667,-0.002
cross_cell_2,2,0,128,affine_minus_loss,10,0.009206777777777786,0.0023333333333333335,-0.015000000000000001,0.002
cross_cell_2,2,0,128,affine_minus_mismatched_lira,10,0.004662222222222234,0.003666666666666667,-0.011666666666666665,-0.007666666666666665
cross_cell_2,2,0,512,affine_minus_loss,10,0.014671555555555604,0.002,-0.021666666666666667,-0.0019999999999999983
cross_cell_2,2,0,512,affine_minus_mismatched_lira,10,0.0014028888888888424,-0.0003333333333333335,0.0,-0.003666666666666667
cross_cell_2,2,1,1024,affine_minus_loss,10,0.023819555555555594,0.0013333333333333335,0.0003333333333333339,0.022333333333333334
cross_cell_2,2,1,1024,affine_minus_mismatched_lira,10,0.007074444444444328,-0.0009999999999999998,-0.0016666666666666653,0.01033333333333333
cross_cell_2,2,1,128,affine_minus_loss,10,0.011670999999999987,0.003,0.011666666666666667,0.034666666666666665
cross_cell_2,2,1,128,affine_minus_mismatched_lira,10,0.005784888888888895,0.004,-0.005000000000000001,0.019
cross_cell_2,2,1,512,affine_minus_loss,10,0.020695333333333288,0.002333333333333334,0.006333333333333333,0.029333333333333336
cross_cell_2,2,1,512,affine_minus_mismatched_lira,10,0.006759111111111105,-0.00033333333333333327,-0.004,0.015666666666666666
cross_cell_2,2,10,1024,affine_minus_loss,10,0.028282222222222264,0.000666666666666667,0.001666666666666667,0.026333333333333334
cross_cell_2,2,10,1024,affine_minus_mismatched_lira,10,0.009602222222222234,-0.0013333333333333335,-0.009333333333333332,0.002666666666666666
cross_cell_2,2,10,128,affine_minus_loss,10,0.010693444444444478,0.0,0.003333333333333333,0.018666666666666665
cross_cell_2,2,10,128,affine_minus_mismatched_lira,10,0.004335333333333413,0.0013333333333333333,-0.015666666666666666,-0.006666666666666666
cross_cell_2,2,10,512,affine_minus_loss,10,0.022641111111111112,0.002,0.004,0.025333333333333333
cross_cell_2,2,10,512,affine_minus_mismatched_lira,10,0.008776888888888945,-0.0006666666666666669,-0.010666666666666666,0.0063333333333333314
cross_cell_2,2,11,1024,affine_minus_loss,10,0.024834000000000078,0.0006666666666666668,-0.030333333333333334,-0.0003333333333333348
cross_cell_2,2,11,1024,affine_minus_mismatched_lira,10,0.006294666666666671,-0.002,0.001,0.018666666666666665
cross_cell_2,2,11,128,affine_minus_loss,10,0.012015000000000053,0.003,-0.008333333333333331,0.012333333333333335
cross_cell_2,2,11,128,affine_minus_mismatched_lira,10,0.006196222222222214,0.004666666666666667,-0.001,0.016999999999999998
cross_cell_2,2,11,512,affine_minus_loss,10,0.020665555555555548,0.002,-0.030666666666666665,-0.005999999999999998
cross_cell_2,2,11,512,affine_minus_mismatched_lira,10,0.007069999999999965,0.0006666666666666668,0.002,0.016333333333333335
cross_cell_2,2,12,1024,affine_minus_loss,10,0.024198666666666646,0.0013333333333333335,-0.03,-0.008666666666666663
cross_cell_2,2,12,1024,affine_minus_mismatched_lira,10,0.006646888888888869,-0.0006666666666666668,-0.010000000000000002,-0.003333333333333334
cross_cell_2,2,12,128,affine_minus_loss,10,0.009990555555555614,0.003,-0.012666666666666666,0.0006666666666666661
cross_cell_2,2,12,128,affine_minus_mismatched_lira,10,0.0043675555555556245,0.004333333333333333,-0.021333333333333333,-0.01
cross_cell_2,2,12,512,affine_minus_loss,10,0.01773555555555556,0.0016666666666666668,-0.024,-0.003000000000000001
cross_cell_2,2,12,512,affine_minus_mismatched_lira,10,0.004443777777777824,-0.00033333333333333327,-0.009666666666666667,-0.0006666666666666678
cross_cell_2,2,13,1024,affine_minus_loss,10,0.02128422222222226,0.0016666666666666668,-0.03233333333333333,-0.005333333333333332
cross_cell_2,2,13,1024,affine_minus_mismatched_lira,10,0.005058666666666767,-0.0013333333333333333,0.013000000000000001,0.02766666666666667
cross_cell_2,2,13,128,affine_minus_loss,10,0.012359666666666713,0.004,-0.009,0.012
cross_cell_2,2,13,128,affine_minus_mismatched_lira,10,0.006542222222222227,0.005666666666666667,0.006,0.023
cross_cell_2,2,13,512,affine_minus_loss,10,0.016779111111111078,0.002,-0.026666666666666665,0.001666666666666667
cross_cell_2,2,13,512,affine_minus_mismatched_lira,10,0.003942000000000057,0.0,0.013999999999999999,0.029666666666666664
cross_cell_2,2,14,1024,affine_minus_loss,10,0.022982222222222293,0.0016666666666666668,-0.050666666666666665,-0.02666666666666667
cross_cell_2,2,14,1024,affine_minus_mismatched_lira,10,0.0035857777777778543,-0.0010000000000000002,-0.012999999999999998,-0.009999999999999998
cross_cell_2,2,14,128,affine_minus_loss,10,0.011873222222222202,0.004,-0.03266666666666666,-0.015333333333333332
cross_cell_2,2,14,128,affine_minus_mismatched_lira,10,0.007014000000000076,0.004666666666666667,-0.02333333333333333,-0.020666666666666667
cross_cell_2,2,14,512,affine_minus_loss,10,0.01962266666666662,0.0023333333333333335,-0.04733333333333334,-0.02366666666666667
cross_cell_2,2,14,512,affine_minus_mismatched_lira,10,0.006657777777777818,0.0,-0.01633333333333333,-0.00933333333333333
cross_cell_2,2,15,1024,affine_minus_loss,10,0.023630888888888923,0.0013333333333333335,-0.013333333333333334,0.012333333333333335
cross_cell_2,2,15,1024,affine_minus_mismatched_lira,10,0.0074622222222222034,-0.0016666666666666668,-0.00033333333333333305,0.009999999999999998
cross_cell_2,2,15,128,affine_minus_loss,10,0.012165222222222216,0.0033333333333333335,0.0023333333333333322,0.023999999999999997
cross_cell_2,2,15,128,affine_minus_mismatched_lira,10,0.005315555555555629,0.004333333333333333,-0.006333333333333332,0.010666666666666668
cross_cell_2,2,15,512,affine_minus_loss,10,0.020830666666666664,0.002666666666666667,-0.007666666666666666,0.013333333333333332
cross_cell_2,2,15,512,affine_minus_mismatched_lira,10,0.0071662222222222405,0.00033333333333333327,-0.003333333333333333,0.010666666666666666
cross_cell_2,2,16,1024,affine_minus_loss,10,0.0217277777777779,0.002,-0.008,0.017333333333333333
cross_cell_2,2,16,1024,affine_minus_mismatched_lira,10,0.006195111111111207,-0.00033333333333333305,-0.009333333333333332,0.006333333333333333
cross_cell_2,2,16,128,affine_minus_loss,10,0.010072666666666674,0.0036666666666666666,0.002,0.02
cross_cell_2,2,16,128,affine_minus_mismatched_lira,10,0.005459333333333316,0.004666666666666666,-0.012333333333333333,0.005333333333333332
cross_cell_2,2,16,512,affine_minus_loss,10,0.016164666666666716,0.002666666666666667,-0.004666666666666667,0.02333333333333333
cross_cell_2,2,16,512,affine_minus_mismatched_lira,10,0.00238866666666665,0.00033333333333333327,-0.006333333333333333,0.012
cross_cell_2,2,17,1024,affine_minus_loss,10,0.027913999999999994,0.002,-0.002999999999999999,0.010333333333333333
cross_cell_2,2,17,1024,affine_minus_mismatched_lira,10,0.01159888888888888,-0.00033333333333333327,-0.008666666666666666,-0.004999999999999999
cross_cell_2,2,17,128,affine_minus_loss,10,0.012758555555555606,0.0033333333333333335,-0.0023333333333333335,0.009333333333333332
cross_cell_2,2,17,128,affine_minus_mismatched_lira,10,0.0062253333333333605,0.004,-0.018666666666666665,-0.012
cross_cell_2,2,17,512,affine_minus_loss,10,0.024377777777777776,0.003666666666666667,0.0,0.009
cross_cell_2,2,17,512,affine_minus_mismatched_lira,10,0.010643999999999987,0.0013333333333333335,-0.012,-0.008666666666666668
cross_cell_2,2,18,1024,affine_minus_loss,10,0.023389555555555552,0.0023333333333333335,-0.017666666666666664,1.734723475976807e-18
cross_cell_2,2,18,1024,affine_minus_mismatched_lira,10,0.006118666666666606,0.0,-0.007333333333333332,-0.002666666666666668
cross_cell_2,2,18,128,affine_minus_loss,10,0.011613888888888924,0.003333333333333333,-0.011666666666666667,0.00033333333333333305
