strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,contrast,comparator_attack,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_12,12,0,128,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.015825777777777827,0.004,-0.012,0.0013333333333333322
cross_cell_12,12,0,128,9,affine_minus_loss,loss_mia,0.0012933333333333685,0.0033333333333333335,-0.003333333333333333,0.010666666666666666
cross_cell_12,12,0,512,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.0022733333333332384,0.0013333333333333335,-0.003333333333333334,0.004
cross_cell_12,12,0,512,0,affine_minus_loss,loss_mia,0.025561333333333325,0.004,-0.002666666666666668,0.014666666666666668
cross_cell_12,12,0,512,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.00990000000000002,0.0,-0.004666666666666666,0.015333333333333334
cross_cell_12,12,0,512,1,affine_minus_loss,loss_mia,0.013832444444444536,0.0006666666666666666,-0.0006666666666666661,0.018666666666666665
cross_cell_12,12,0,512,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.008770222222222235,-0.004666666666666666,-0.001333333333333334,0.011333333333333332
cross_cell_12,12,0,512,2,affine_minus_loss,loss_mia,0.022871555555555534,0.002666666666666667,0.0,0.016666666666666663
cross_cell_12,12,0,512,3,affine_minus_mismatched_lira,latent_lira_mismatched,0.002718666666666758,0.0013333333333333335,-0.005333333333333334,0.006666666666666666
cross_cell_12,12,0,512,3,affine_minus_loss,loss_mia,0.01362399999999997,0.0013333333333333335,-0.001333333333333334,0.011999999999999999
cross_cell_12,12,0,512,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.010386666666666655,0.0013333333333333335,-0.001333333333333334,0.005999999999999998
cross_cell_12,12,0,512,4,affine_minus_loss,loss_mia,0.026342222222222156,0.002666666666666667,-0.0006666666666666661,0.016
cross_cell_12,12,0,512,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.006615999999999955,0.0019999999999999996,-0.002666666666666668,0.010000000000000002
cross_cell_12,12,0,512,5,affine_minus_loss,loss_mia,0.02095866666666657,0.004,-0.005333333333333334,0.020666666666666667
cross_cell_12,12,0,512,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.015409777777777856,0.0019999999999999996,0.0006666666666666678,0.011999999999999999
cross_cell_12,12,0,512,6,affine_minus_loss,loss_mia,0.021104000000000123,0.0026666666666666666,-0.0006666666666666661,0.018666666666666665
cross_cell_12,12,0,512,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.0018346666666667621,-0.0006666666666666665,0.001333333333333334,0.009333333333333334
cross_cell_12,12,0,512,7,affine_minus_loss,loss_mia,0.019364888888888987,0.002666666666666667,0.0006666666666666661,0.014000000000000002
cross_cell_12,12,0,512,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.0022804444444444183,-0.0013333333333333335,-0.002,0.008
cross_cell_12,12,0,512,8,affine_minus_loss,loss_mia,0.024055555555555497,0.002,-0.0006666666666666678,0.02
cross_cell_12,12,0,512,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.01581022222222228,-0.002,-0.004666666666666666,0.009333333333333334
cross_cell_12,12,0,512,9,affine_minus_loss,loss_mia,0.0189395555555556,0.0006666666666666668,-0.004,0.015333333333333334
cross_cell_2,2,0,1024,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.002113777777777881,-0.0026666666666666666,0.001333333333333334,-0.003333333333333334
cross_cell_2,2,0,1024,0,affine_minus_loss,loss_mia,0.02403466666666665,0.0,-0.02666666666666667,-0.0020000000000000018
cross_cell_2,2,0,1024,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.003038666666666745,-0.000666666666666667,0.002666666666666666,0.0006666666666666661
cross_cell_2,2,0,1024,1,affine_minus_loss,loss_mia,0.013751555555555517,0.0006666666666666665,-0.022,-0.0033333333333333305
cross_cell_2,2,0,1024,2,affine_minus_mismatched_lira,latent_lira_mismatched,-0.003686666666666727,-0.004,0.003333333333333334,0.0
cross_cell_2,2,0,1024,2,affine_minus_loss,loss_mia,0.016184444444444446,0.002666666666666667,-0.023333333333333334,0.0006666666666666696
cross_cell_2,2,0,1024,3,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0039751111111111515,-0.002666666666666667,0.004666666666666668,-0.004666666666666666
cross_cell_2,2,0,1024,3,affine_minus_loss,loss_mia,0.016344444444444495,0.0006666666666666668,-0.02266666666666666,-0.003333333333333334
cross_cell_2,2,0,1024,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.00359066666666652,0.0,0.0006666666666666661,0.0013333333333333322
cross_cell_2,2,0,1024,4,affine_minus_loss,loss_mia,0.02030977777777765,0.0013333333333333335,-0.025333333333333333,0.003333333333333334
cross_cell_2,2,0,1024,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.0018364444444444183,-0.001333333333333333,0.002,-0.0019999999999999983
cross_cell_2,2,0,1024,5,affine_minus_loss,loss_mia,0.01781111111111111,0.0013333333333333335,-0.023999999999999997,-0.007333333333333331
cross_cell_2,2,0,1024,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.005499555555555702,-0.000666666666666667,0.0,-0.0020000000000000018
cross_cell_2,2,0,1024,6,affine_minus_loss,loss_mia,0.01792444444444452,0.0013333333333333335,-0.026666666666666665,-0.003333333333333334
cross_cell_2,2,0,1024,7,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0021791111111111316,-0.002,0.0006666666666666678,-0.006666666666666668
cross_cell_2,2,0,1024,7,affine_minus_loss,loss_mia,0.027451555555555562,-0.0006666666666666665,-0.022,-0.007333333333333334
cross_cell_2,2,0,1024,8,affine_minus_mismatched_lira,latent_lira_mismatched,-0.003291555555555492,-0.0013333333333333335,0.003333333333333334,-0.0006666666666666661
cross_cell_2,2,0,1024,8,affine_minus_loss,loss_mia,0.022665777777777785,0.0,-0.02466666666666667,-0.0019999999999999983
