strategy,auxiliary_target_count,subset_replicate,shots,attack,n_simulator_seeds,auc,advantage,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,tpr_at_5pct_fpr
cross_cell_12,12,0,1024,affine_channel_lira,10,0.6028926666666667,0.14733333333333337,0.003333333333333333,0.024333333333333332,0.096
cross_cell_12,12,0,1024,latent_lira_mismatched,10,0.596576,0.14633333333333337,0.004666666666666667,0.014666666666666666,0.07266666666666666
cross_cell_12,12,0,1024,loss_mia,10,0.57747,0.15433333333333332,0.002,0.008,0.04033333333333333
cross_cell_12,12,0,128,affine_channel_lira,10,0.5748953333333333,0.11166666666666664,0.006,0.022333333333333334,0.08633333333333333
cross_cell_12,12,0,128,latent_lira_mismatched,10,0.5680675555555555,0.11233333333333331,0.0,0.01,0.059
cross_cell_12,12,0,128,loss_mia,10,0.5650198888888889,0.12766666666666665,0.0016666666666666666,0.009666666666666667,0.047
cross_cell_12,12,0,512,affine_channel_lira,10,0.5956611111111111,0.13800000000000004,0.0033333333333333335,0.024666666666666667,0.094
cross_cell_12,12,0,512,latent_lira_mismatched,10,0.588883111111111,0.13866666666666666,0.0033333333333333335,0.014333333333333333,0.07233333333333333
cross_cell_12,12,0,512,loss_mia,10,0.5756915555555555,0.15066666666666667,0.0006666666666666666,0.007333333333333333,0.043
cross_cell_2,2,0,1024,affine_channel_lira,10,0.5946822222222222,0.13933333333333334,0.0026666666666666666,0.02366666666666667,0.09333333333333332
cross_cell_2,2,0,1024,latent_lira_mismatched,10,0.596576,0.14633333333333337,0.004666666666666667,0.014666666666666666,0.07266666666666666
cross_cell_2,2,0,1024,loss_mia,10,0.57747,0.15433333333333332,0.002,0.008,0.04033333333333333
cross_cell_2,2,0,128,affine_channel_lira,10,0.5731508888888889,0.11333333333333331,0.004333333333333333,0.023,0.08566666666666667
cross_cell_2,2,0,128,latent_lira_mismatched,10,0.5680675555555555,0.11233333333333331,0.0,0.01,0.059
cross_cell_2,2,0,128,loss_mia,10,0.5650198888888889,0.12766666666666665,0.0016666666666666666,0.009666666666666667,0.047
cross_cell_2,2,0,512,affine_channel_lira,10,0.5894391111111111,0.132,0.0026666666666666666,0.024333333333333332,0.08933333333333333
cross_cell_2,2,0,512,latent_lira_mismatched,10,0.588883111111111,0.13866666666666666,0.0033333333333333335,0.014333333333333333,0.07233333333333333
cross_cell_2,2,0,512,loss_mia,10,0.5756915555555555,0.15066666666666667,0.0006666666666666666,0.007333333333333333,0.043
cross_cell_2,2,1,1024,affine_channel_lira,10,0.6006577777777777,0.1416666666666667,0.003666666666666667,0.02666666666666667,0.09433333333333332
cross_cell_2,2,1,1024,latent_lira_mismatched,10,0.596576,0.14633333333333337,0.004666666666666667,0.014666666666666666,0.07266666666666666
cross_cell_2,2,1,1024,loss_mia,10,0.57747,0.15433333333333332,0.002,0.008,0.04033333333333333
cross_cell_2,2,1,128,affine_channel_lira,10,0.5735735555555556,0.10766666666666667,0.004666666666666667,0.024333333333333332,0.08466666666666667
cross_cell_2,2,1,128,latent_lira_mismatched,10,0.5680675555555555,0.11233333333333331,0.0,0.01,0.059
cross_cell_2,2,1,128,loss_mia,10,0.5650198888888889,0.12766666666666665,0.0016666666666666666,0.009666666666666667,0.047
