strategy,auxiliary_target_count,subset_replicate,held_cell,held_target_ids,auxiliary_target_ids,shots,fold,n_train_public_nonmember_pairs,n_test_heldout_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,128,0,1600,200,-0.3181959361616884,0.8002009046542718,1.616303464580143,1.6152929590330531,0.4301987601373747,-3.1086244689504386e-17,1.6152929590330531,-0.21989368758273034,1.5443859162215707,0.898125,1.4760572131521166,0.2812581406387745,0.09255878070802974,1.4731523236285635,0.17473102236163965,1.0425753892221516,0.92
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,128,1,1640,180,-0.33244987475556687,0.8198478660969768,1.6064913122935844,1.605511445589251,0.45195601269377017,7.582010899879118e-17,1.605511445589251,-0.19080023714483152,1.7255190391144506,0.8981707317073171,1.4930904895303652,0.40234084357101063,0.1129077870700857,1.4888153147872176,-0.05165537579097108,-0.029672761208602072,0.9166666666666666
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,128,2,1680,160,-0.3264620408389716,0.8102715907497146,1.5846139391619787,1.583670435690917,0.4195438548246706,5.551115123125783e-17,1.583670435690917,-0.15217882418994774,1.4891498535841423,0.8970238095238096,1.4944953714703748,0.4230454207565998,0.06101559037245578,1.4932493137711045,0.08674094654194613,0.44338550538481636,0.9
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,128,3,1480,260,-0.3814766687685566,0.812432458717176,1.5415045626184043,1.540462653366133,0.4219716302144356,3.600723323108616e-18,1.540462653366133,-0.2588542588566601,1.7384147332939603,0.9013513513513514,1.5672232418203518,0.3612516894092358,0.09847267525111071,1.564126536419219,-0.15735325654497642,0.3527588758403053,0.8769230769230769
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,128,4,1600,200,-0.32878916161178195,0.7875245705597929,1.6595704109285656,1.6585328550841467,0.4034725010756184,-7.105427357601002e-17,1.6585328550841467,-0.21781099164106443,1.2400753498810273,0.8925,1.2783792368331295,0.5344136476802381,0.19134610645259842,1.2639779035693166,-0.42292815672276374,0.7394737453340268,0.965
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,128,0,1600,200,-0.3071968667586001,0.821969725317192,1.5397307029147302,1.5387680703086533,0.4224270806271174,-8.881784197001253e-17,1.5387680703086533,-0.24934768094178508,0.7463272035313655,0.89625,1.4990884907450417,0.44192419165007013,-0.21382375238357973,1.483760663314961,-0.6584187315411133,2.115161661388587,0.92
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,128,1,1640,180,-0.29039072302854296,0.8260060074048645,1.542025195158355,1.5410846490536756,0.4202056302291184,-2.599546594244269e-17,1.5410846490536756,-0.14301011003506428,0.8697193043089468,0.8975609756097561,1.6203302646505267,0.2774794913731946,-0.06521599844923377,1.6190173069145108,-0.3403386393423159,0.6771731760641515,0.8777777777777778
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,128,2,1680,160,-0.28756349095115363,0.83243302187277,1.5263952058725432,1.5254863667292284,0.4002314602620257,4.229421046191073e-18,1.5254863667292284,-0.20205094183300445,0.9278127661646232,0.8976190476190476,1.6909676478744637,0.4551234472433946,-0.03810710344728997,1.6905382086261624,-0.9464745979066521,3.4733627737128785,0.8875
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,128,3,1480,260,-0.31480845930454493,0.8452558401118412,1.491001066646892,1.489993292914554,0.41027081904360274,-5.281060873892637e-17,1.489993292914554,-0.12008039481265233,0.7842699482704023,0.8986486486486487,1.7606431227707577,0.4378356624702846,0.12510385362376147,1.7561928230033428,-0.020339090108913965,1.1856492290144525,0.8346153846153846
same_cell_2,2,0,eff_su2_r1_d2,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,128,4,1600,200,-0.31351686135195,0.8050881616966319,1.5923090740034118,1.591313569639768,0.380447223263472,1.2434497875801754e-16,1.591313569639768,-0.09036209520012971,0.6441814392952803,0.888125,1.3562133935464737,0.538995850551,-0.06826551289408442,1.3544942187341187,0.5398460499025601,4.750818722709536,0.94
