strategy,auxiliary_target_count,shots,attack,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cross_cell_12,12,1024,affine_channel_lira,10,0.6028926666666667,0.5980027777777779,0.6093090222222222,0.14733333333333337,0.14053333333333334,0.16006666666666666,0.003333333333333333,0.002,0.005333333333333333,0.024333333333333332,0.0172,0.029699999999999997,0.096,0.0943,0.10383333333333333
cross_cell_12,12,1024,latent_lira_mismatched,10,0.596576,0.5884366,0.6038381555555555,0.14633333333333337,0.13756666666666673,0.16493333333333327,0.004666666666666667,0.0033333333333333335,0.006799999999999997,0.014666666666666666,0.012233333333333334,0.021599999999999994,0.07266666666666666,0.06496666666666666,0.08336666666666666
cross_cell_12,12,1024,loss_mia,10,0.57747,0.5737925111111111,0.5805814888888888,0.15433333333333332,0.14490000000000003,0.16050000000000003,0.002,0.0009666666666666667,0.0026666666666666666,0.008,0.006233333333333333,0.009033333333333332,0.04033333333333333,0.035500000000000004,0.04669999999999999
cross_cell_12,12,128,affine_channel_lira,10,0.5748953333333333,0.5628942222222222,0.5864368222222222,0.11166666666666664,0.10133333333333336,0.12540000000000004,0.006,0.0018666666666666666,0.007333333333333333,0.022333333333333334,0.018233333333333334,0.028066666666666667,0.08633333333333333,0.06973333333333333,0.09606666666666666
cross_cell_12,12,128,latent_lira_mismatched,10,0.5680675555555555,0.5574923777777777,0.5702852888888889,0.11233333333333331,0.09736666666666668,0.12206666666666667,0.0,0.0,0.0013999999999999985,0.01,0.005566666666666667,0.016199999999999996,0.059,0.05223333333333333,0.06473333333333332
cross_cell_12,12,128,loss_mia,10,0.5650198888888889,0.5492942777777777,0.5750170666666666,0.12766666666666665,0.10733333333333339,0.1404,0.0016666666666666666,0.0003,0.002,0.009666666666666667,0.005266666666666667,0.014666666666666666,0.047,0.036566666666666664,0.060266666666666656
cross_cell_12,12,512,affine_channel_lira,10,0.5956611111111111,0.5864090888888889,0.602215311111111,0.13800000000000004,0.1219,0.14299999999999996,0.0033333333333333335,0.0016333333333333334,0.005333333333333333,0.024666666666666667,0.018766666666666668,0.028933333333333325,0.094,0.08553333333333334,0.10266666666666667
cross_cell_12,12,512,latent_lira_mismatched,10,0.588883111111111,0.5783946666666666,0.5977099777777778,0.13866666666666666,0.1220666666666667,0.1536666666666667,0.0033333333333333335,0.0016333333333333334,0.0061999999999999954,0.014333333333333333,0.0086,0.017699999999999997,0.07233333333333333,0.0543,0.07606666666666666
cross_cell_12,12,512,loss_mia,10,0.5756915555555555,0.5700864888888889,0.5771338222222222,0.15066666666666667,0.13730000000000003,0.1634666666666667,0.0006666666666666666,0.0006666666666666666,0.002366666666666666,0.007333333333333333,0.004966666666666667,0.010066666666666665,0.043,0.0375,0.05026666666666666
cross_cell_2,2,1024,affine_channel_lira,10,0.601304,0.5965978666666667,0.6076249888888888,0.14500000000000002,0.14178333333333332,0.15913333333333338,0.0033333333333333335,0.0023,0.005333333333333333,0.024833333333333332,0.019133333333333332,0.028733333333333333,0.096,0.09296666666666667,0.10291666666666666
cross_cell_2,2,1024,latent_lira_mismatched,10,0.596576,0.5884366,0.6038381555555555,0.14633333333333337,0.13756666666666673,0.16493333333333327,0.004666666666666667,0.0033333333333333335,0.006799999999999997,0.014666666666666666,0.012233333333333334,0.021599999999999994,0.07266666666666666,0.06496666666666666,0.08336666666666666
cross_cell_2,2,1024,loss_mia,10,0.57747,0.5737925111111111,0.5805814888888888,0.15433333333333332,0.14490000000000003,0.16050000000000003,0.002,0.0009666666666666667,0.0026666666666666666,0.008,0.006233333333333333,0.009033333333333332,0.04033333333333333,0.035500000000000004,0.04669999999999999
cross_cell_2,2,128,affine_channel_lira,10,0.5739981111111111,0.5621809555555556,0.5859559555555556,0.11033333333333334,0.09659999999999999,0.1255166666666667,0.005,0.0018666666666666666,0.0060666666666666655,0.02266666666666667,0.01838333333333333,0.025333333333333333,0.08533333333333333,0.0687,0.0939
cross_cell_2,2,128,latent_lira_mismatched,10,0.5680675555555555,0.5574923777777777,0.5702852888888889,0.11233333333333331,0.09736666666666668,0.12206666666666667,0.0,0.0,0.0013999999999999985,0.01,0.005566666666666667,0.016199999999999996,0.059,0.05223333333333333,0.06473333333333332
cross_cell_2,2,128,loss_mia,10,0.5650198888888889,0.5492942777777777,0.5750170666666666,0.12766666666666665,0.10733333333333339,0.1404,0.0016666666666666666,0.0003,0.002,0.009666666666666667,0.005266666666666667,0.014666666666666666,0.047,0.036566666666666664,0.060266666666666656
cross_cell_2,2,512,affine_channel_lira,10,0.5946237777777778,0.5855088777777777,0.6013423888888888,0.1365,0.12418333333333337,0.14438333333333334,0.003666666666666667,0.0019333333333333333,0.004666666666666667,0.024666666666666667,0.019633333333333332,0.02813333333333333,0.09316666666666666,0.08743333333333334,0.0987
cross_cell_2,2,512,latent_lira_mismatched,10,0.588883111111111,0.5783946666666666,0.5977099777777778,0.13866666666666666,0.1220666666666667,0.1536666666666667,0.0033333333333333335,0.0016333333333333334,0.0061999999999999954,0.014333333333333333,0.0086,0.017699999999999997,0.07233333333333333,0.0543,0.07606666666666666
cross_cell_2,2,512,loss_mia,10,0.5756915555555555,0.5700864888888889,0.5771338222222222,0.15066666666666667,0.13730000000000003,0.1634666666666667,0.0006666666666666666,0.0006666666666666666,0.002366666666666666,0.007333333333333333,0.004966666666666667,0.010066666666666665,0.043,0.0375,0.05026666666666666
