shots,simulator_seed,contrast,treatment_strategy,comparator_strategy,auc_difference,actual_fpr_difference,calibrated_tpr_difference
512,1,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,-0.0013635555555555623,-0.001333333333333334,0.0023333333333333296
512,1,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.001546444444444517,-0.0019999999999999983,-0.0016666666666666635
512,1,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0010911111111111538,-0.0019999999999999983,-0.001999999999999995
512,1,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0010995555555556313,-0.0033333333333333322,-0.0009999999999999974
512,2,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0019597777777775605,0.001333333333333334,0.0016666666666666635
512,2,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0003897777777779332,-0.001333333333333334,-0.0023333333333333296
512,2,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.00014177777777790723,-0.001666666666666667,-0.004333333333333331
512,2,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0005717777777778377,-0.001333333333333334,-0.002999999999999999
512,3,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0021837777777776735,0.0006666666666666661,0.0016666666666666705
512,3,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0012588888888889205,-0.001666666666666667,-0.0020000000000000018
512,3,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0005580000000000584,-0.002666666666666666,-0.0056666666666666705
512,3,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0007371111111111883,-0.003333333333333334,-0.0056666666666666705
512,4,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,-0.0013755555555555743,0.0,0.0010000000000000009
512,4,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0012275555555556483,-0.0009999999999999992,-0.0013333333333333322
512,4,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0009475555555555903,-0.0006666666666666661,-0.0026666666666666713
512,4,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0009177777777777951,-0.002,-0.0030000000000000027
512,5,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.001797777777777787,0.0033333333333333322,0.0033333333333333305
512,5,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0003695555555556229,-0.002,-0.002333333333333333
