strategy,auxiliary_target_count,shots,attack,n_replicates,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
cross_cell_12,12,1024,affine_channel_lira,10,0.010333333333333333,0.008966666666666666,0.012,0.02666666666666667,0.023266666666666668,0.028066666666666667
cross_cell_12,12,1024,latent_lira_mismatched,10,0.010666666666666668,0.009333333333333334,0.014799999999999997,0.018000000000000002,0.013566666666666666,0.02
cross_cell_12,12,1024,loss_mia,10,0.013000000000000001,0.011633333333333334,0.014666666666666666,0.008666666666666666,0.007633333333333333,0.01
cross_cell_12,12,128,affine_channel_lira,10,0.011333333333333334,0.008166666666666668,0.013466666666666663,0.023333333333333334,0.020966666666666665,0.025699999999999997
cross_cell_12,12,128,latent_lira_mismatched,10,0.017333333333333333,0.012966666666666666,0.019033333333333333,0.016666666666666666,0.0146,0.021766666666666667
cross_cell_12,12,128,loss_mia,10,0.010666666666666666,0.007500000000000001,0.013766666666666665,0.010333333333333333,0.0066,0.011033333333333332
cross_cell_12,12,512,affine_channel_lira,10,0.010666666666666666,0.008666666666666666,0.012733333333333333,0.025333333333333333,0.021933333333333332,0.028
cross_cell_12,12,512,latent_lira_mismatched,10,0.013000000000000001,0.010966666666666666,0.016066666666666663,0.014666666666666666,0.012966666666666666,0.0197
cross_cell_12,12,512,loss_mia,10,0.012666666666666666,0.0103,0.014366666666666666,0.008666666666666666,0.006666666666666667,0.009333333333333334
cross_cell_2,2,1024,affine_channel_lira,10,0.013333333333333334,0.012,0.014,0.0295,0.027566666666666666,0.03018333333333333
cross_cell_2,2,1024,latent_lira_mismatched,10,0.013666666666666667,0.01215,0.01613333333333333,0.0215,0.017816666666666665,0.02266666666666667
cross_cell_2,2,1024,loss_mia,10,0.0255,0.024149999999999998,0.027883333333333333,0.021666666666666667,0.019816666666666666,0.022699999999999998
cross_cell_2,2,128,affine_channel_lira,10,0.012666666666666666,0.010966666666666666,0.014733333333333331,0.02666666666666667,0.024966666666666665,0.028366666666666665
cross_cell_2,2,128,latent_lira_mismatched,10,0.02266666666666667,0.01778333333333333,0.025666666666666664,0.02366666666666667,0.02075,0.02673333333333333
cross_cell_2,2,128,loss_mia,10,0.016,0.013933333333333334,0.019283333333333333,0.014666666666666666,0.011416666666666667,0.017
cross_cell_2,2,512,affine_channel_lira,10,0.013000000000000001,0.012,0.015883333333333333,0.028833333333333332,0.0273,0.03
cross_cell_2,2,512,latent_lira_mismatched,10,0.015,0.012783333333333334,0.017616666666666666,0.019,0.015816666666666666,0.02285
cross_cell_2,2,512,loss_mia,10,0.02416666666666667,0.02001666666666667,0.025516666666666663,0.019333333333333334,0.01778333333333333,0.021066666666666668
cross_cell_4,4,1024,affine_channel_lira,10,0.011666666666666667,0.01045,0.012516666666666666,0.028166666666666666,0.02545,0.029516666666666667
cross_cell_4,4,1024,latent_lira_mismatched,10,0.012166666666666666,0.0106,0.015099999999999999,0.018833333333333334,0.014416666666666666,0.02
cross_cell_4,4,1024,loss_mia,10,0.016,0.01445,0.01685,0.010833333333333334,0.008450000000000001,0.01185
cross_cell_4,4,128,affine_channel_lira,10,0.0115,0.0092,0.014099999999999998,0.02383333333333333,0.021483333333333333,0.0254
cross_cell_4,4,128,latent_lira_mismatched,10,0.018333333333333333,0.014666666666666666,0.021666666666666667,0.020166666666666666,0.0163,0.022699999999999998
cross_cell_4,4,128,loss_mia,10,0.012166666666666666,0.009016666666666666,0.015033333333333333,0.011166666666666667,0.0083,0.012183333333333332
cross_cell_4,4,512,affine_channel_lira,10,0.011333333333333334,0.010483333333333332,0.013883333333333333,0.026833333333333334,0.024816666666666667,0.028033333333333334
cross_cell_4,4,512,latent_lira_mismatched,10,0.013500000000000002,0.012,0.01655,0.0155,0.013816666666666666,0.0207
