strategy,auxiliary_target_count,shots,n_replicates,slope_median,slope_q05,slope_q95,scale_median,scale_q05,scale_q95,test_r_squared_median,test_r_squared_q05,test_r_squared_q95,test_coverage_90pct_median,test_coverage_90pct_q05,test_coverage_90pct_q95
cross_cell_12,12,1024,25,0.7453132636019896,0.7182615336577773,0.798394570886767,0.7615768728047253,0.6712033603229186,0.7873656709056167,0.8666948808487112,0.594238795567747,0.9402426055232186,0.91,0.6778148148148148,0.9683333333333334
cross_cell_12,12,128,25,0.7435891192841665,0.7157707934234102,0.797788280739374,1.5002612653075755,1.4230873471137795,1.57880324589966,0.5192463370506647,0.3173150082690128,0.7917050500034764,0.8870370370370371,0.8076666666666666,0.9653333333333333
cross_cell_12,12,512,25,0.744110167672469,0.7168672976659688,0.8007894965509753,0.9151672052199812,0.8384544394993747,0.9363892319019547,0.7809271029510435,0.5216196870574885,0.9103458155069631,0.9012820512820513,0.7768888888888889,0.9561111111111111
cross_cell_2,2,1024,1650,0.7623201580424512,0.6164692478182401,0.8685539996431989,0.69965041180881,0.5910052192015116,0.8712734021387305,0.852279158714897,0.5338690286047235,0.9314572411833518,0.8705128205128205,0.6470128205128205,0.9659166666666665
cross_cell_2,2,128,1650,0.7619263289611315,0.5939698969484762,0.8710415716290036,1.488701087718597,1.1956135726891017,1.76639202742315,0.5184659184801758,0.299704151000681,0.7986323280072388,0.89,0.7633333333333333,0.9716666666666667
cross_cell_2,2,512,1650,0.7640592257741464,0.6170932692543405,0.8713211412662138,0.87668503788715,0.7396038262299783,1.00965835867253,0.7799672994724772,0.4989764250249509,0.908347363296568,0.87,0.7303461538461539,0.9588425925925925
cross_cell_4,4,1024,800,0.7495741491778575,0.6620236551359109,0.8411065512860695,0.7410141189329624,0.6377372121652553,0.8405363211318714,0.8547712216918353,0.5458849191318057,0.9365633231093493,0.8942307692307693,0.6691951566951566,0.9683333333333334
cross_cell_4,4,128,800,0.7490635868884812,0.6588420975697495,0.8410519158002603,1.4936806848925137,1.3304633821128247,1.6684921932107366,0.5166735080863263,0.30298486640842826,0.8054307440921518,0.8916666666666667,0.7957916666666667,0.97
cross_cell_4,4,512,800,0.7506610340308482,0.661203701514571,0.8421544579279008,0.8930407772410753,0.7953414359501025,0.9770564405339158,0.7782601033709955,0.4964423025440231,0.9116178526379914,0.8916666666666667,0.75,0.9583333333333334
cross_cell_8,8,1024,800,0.745167351878029,0.695557346997419,0.8080227978178962,0.7572394889496871,0.6659638283792241,0.8163772471028439,0.8616729244539093,0.5661971581726714,0.939672802977124,0.9050641025641026,0.6768732193732194,0.9708333333333333
cross_cell_8,8,128,800,0.7445766119184216,0.6923919553546571,0.810035916797895,1.5085629004142076,1.3872152493395415,1.621113991934796,0.5190124390910946,0.30219401890702535,0.8041895716518368,0.8933333333333333,0.8061939102564103,0.9683333333333334
cross_cell_8,8,512,800,0.7463172856328925,0.6948980588909958,0.8095846677945342,0.9037648956516597,0.8296476512020167,0.9616611831571121,0.7810804383433896,0.4926370857649937,0.9142346010728218,0.8987179487179487,0.7581944444444444,0.9629629629629629
same_cell_2,2,1024,75,0.8174773952598364,0.5562306415793543,0.8676005538832813,0.651374278132568,0.5917804443090577,0.814501998941243,0.8764287524553082,0.7148179442373741,0.9495479110781148,0.8961538461538462,0.8178632478632478,0.9706666666666667
same_cell_2,2,128,75,0.8059804666435195,0.5509872075756138,0.8624123460131307,1.4766115205378034,1.0845981640092421,1.8346423159149094,0.5709785339029303,0.3418450280400765,0.8337485493915685,0.9,0.8241666666666666,0.9555555555555556
same_cell_2,2,512,75,0.8086304570452956,0.5530729518276855,0.8745840383035408,0.8233715297753027,0.7209877763935063,0.9670063923437779,0.8057322787305888,0.6120522442508244,0.924097169042891,0.9,0.8323333333333334,0.94
