strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,auc,advantage,tpr_at_0_1pct_fpr,tpr_at_1pct_fpr,tpr_at_5pct_fpr
cross_cell_12,12,1024,0,affine_channel_lira,1,0.6075915555555556,0.14733333333333337,0.004,0.02666666666666667,0.102
cross_cell_12,12,1024,0,latent_lira_mismatched,1,0.5966879999999999,0.13866666666666672,0.005333333333333333,0.013333333333333334,0.08666666666666667
cross_cell_12,12,1024,0,loss_mia,1,0.5747671111111111,0.15200000000000002,0.0026666666666666666,0.005333333333333333,0.04
cross_cell_12,12,1024,1,affine_channel_lira,1,0.5984977777777778,0.13933333333333334,0.0026666666666666666,0.022,0.096
cross_cell_12,12,1024,1,latent_lira_mismatched,1,0.5894964444444444,0.13666666666666671,0.0033333333333333335,0.015333333333333332,0.06533333333333333
cross_cell_12,12,1024,1,loss_mia,1,0.5787835555555556,0.15800000000000003,0.002,0.009333333333333334,0.04066666666666666
cross_cell_12,12,1024,2,affine_channel_lira,1,0.6032324444444445,0.14733333333333337,0.004666666666666667,0.03,0.10066666666666667
cross_cell_12,12,1024,2,latent_lira_mismatched,1,0.5973902222222223,0.15466666666666667,0.008,0.018666666666666668,0.07933333333333334
cross_cell_12,12,1024,2,loss_mia,1,0.5775191111111111,0.14800000000000002,0.0013333333333333333,0.008,0.03866666666666667
cross_cell_12,12,1024,3,affine_channel_lira,1,0.601604,0.15133333333333338,0.002,0.020666666666666667,0.09866666666666667
cross_cell_12,12,1024,3,latent_lira_mismatched,1,0.5971635555555556,0.15333333333333332,0.004666666666666667,0.011333333333333334,0.072
cross_cell_12,12,1024,3,loss_mia,1,0.5768439999999999,0.14400000000000002,0.0013333333333333333,0.008666666666666666,0.042666666666666665
cross_cell_12,12,1024,4,affine_channel_lira,1,0.606231111111111,0.15200000000000002,0.004666666666666667,0.027333333333333334,0.094
cross_cell_12,12,1024,4,latent_lira_mismatched,1,0.5941400000000001,0.14533333333333343,0.0033333333333333335,0.024,0.06866666666666667
cross_cell_12,12,1024,4,loss_mia,1,0.577420888888889,0.16200000000000003,0.002,0.008,0.04066666666666666
cross_cell_12,12,1024,5,affine_channel_lira,1,0.6057626666666667,0.15200000000000002,0.005333333333333333,0.029333333333333333,0.10533333333333333
cross_cell_12,12,1024,5,latent_lira_mismatched,1,0.596464,0.14466666666666667,0.005333333333333333,0.018666666666666668,0.078
cross_cell_12,12,1024,5,loss_mia,1,0.5804893333333333,0.14600000000000002,0.0026666666666666666,0.007333333333333333,0.05
cross_cell_12,12,1024,6,affine_channel_lira,1,0.60046,0.14200000000000002,0.005333333333333333,0.018666666666666668,0.096
cross_cell_12,12,1024,6,latent_lira_mismatched,1,0.5877359999999999,0.13866666666666672,0.004666666666666667,0.013333333333333334,0.068
cross_cell_12,12,1024,6,loss_mia,1,0.5753111111111111,0.15666666666666673,0.0026666666666666666,0.008666666666666666,0.04133333333333333
cross_cell_12,12,1024,7,affine_channel_lira,1,0.6107142222222222,0.16666666666666669,0.0026666666666666666,0.016,0.09466666666666666
cross_cell_12,12,1024,7,latent_lira_mismatched,1,0.6078355555555556,0.17333333333333323,0.004,0.014,0.07866666666666666
cross_cell_12,12,1024,7,loss_mia,1,0.5782048888888889,0.15866666666666673,0.0026666666666666666,0.008666666666666666,0.037333333333333336
cross_cell_12,12,1024,8,affine_channel_lira,1,0.6025528888888889,0.14600000000000002,0.0026666666666666666,0.020666666666666667,0.096
cross_cell_12,12,1024,8,latent_lira_mismatched,1,0.5989524444444444,0.14733333333333332,0.0033333333333333335,0.018666666666666668,0.07333333333333333
cross_cell_12,12,1024,8,loss_mia,1,0.5729951111111111,0.14666666666666672,0.002,0.007333333333333333,0.038
cross_cell_12,12,1024,9,affine_channel_lira,1,0.5975977777777779,0.14466666666666672,0.002,0.028,0.09466666666666666
cross_cell_12,12,1024,9,latent_lira_mismatched,1,0.589292888888889,0.14866666666666672,0.004666666666666667,0.013333333333333334,0.06466666666666666
cross_cell_12,12,1024,9,loss_mia,1,0.5806568888888888,0.15666666666666662,0.0006666666666666666,0.008,0.034
cross_cell_12,12,128,0,affine_channel_lira,1,0.5897422222222222,0.12266666666666665,0.007333333333333333,0.022,0.086
cross_cell_12,12,128,0,latent_lira_mismatched,1,0.5681871111111111,0.11399999999999999,0.0,0.014,0.059333333333333335
cross_cell_12,12,128,0,loss_mia,1,0.5705986666666667,0.132,0.0006666666666666666,0.006,0.04666666666666667
cross_cell_12,12,128,1,affine_channel_lira,1,0.5627262222222222,0.10133333333333333,0.006,0.026,0.08733333333333333
cross_cell_12,12,128,1,latent_lira_mismatched,1,0.5572297777777777,0.10066666666666668,0.0,0.008666666666666666,0.05333333333333334
cross_cell_12,12,128,1,loss_mia,1,0.5772026666666666,0.14400000000000002,0.0,0.014666666666666666,0.06266666666666666
cross_cell_12,12,128,2,affine_channel_lira,1,0.5630995555555556,0.10133333333333339,0.007333333333333333,0.022,0.08666666666666667
cross_cell_12,12,128,2,latent_lira_mismatched,1,0.5605386666666667,0.10800000000000004,0.0,0.01,0.058666666666666666
cross_cell_12,12,128,2,loss_mia,1,0.5624640000000001,0.126,0.002,0.014666666666666666,0.04133333333333333
cross_cell_12,12,128,3,affine_channel_lira,1,0.5681088888888889,0.11199999999999999,0.0006666666666666666,0.020666666666666667,0.09666666666666666
cross_cell_12,12,128,3,latent_lira_mismatched,1,0.5692311111111111,0.11533333333333329,0.0006666666666666666,0.011333333333333334,0.06266666666666666
