strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_12,12,512,2,loss_mia,1,0.010666666666666666,0.009333333333333334
cross_cell_12,12,512,3,affine_channel_lira,1,0.008666666666666666,0.021333333333333333
cross_cell_12,12,512,3,latent_lira_mismatched,1,0.014,0.014666666666666666
cross_cell_12,12,512,3,loss_mia,1,0.01,0.009333333333333334
cross_cell_12,12,512,4,affine_channel_lira,1,0.012,0.025333333333333333
cross_cell_12,12,512,4,latent_lira_mismatched,1,0.013333333333333334,0.019333333333333334
cross_cell_12,12,512,4,loss_mia,1,0.012666666666666666,0.009333333333333334
cross_cell_12,12,512,5,affine_channel_lira,1,0.008666666666666666,0.027333333333333334
cross_cell_12,12,512,5,latent_lira_mismatched,1,0.011333333333333334,0.017333333333333333
cross_cell_12,12,512,5,loss_mia,1,0.014,0.006666666666666667
cross_cell_12,12,512,6,affine_channel_lira,1,0.013333333333333334,0.025333333333333333
cross_cell_12,12,512,6,latent_lira_mismatched,1,0.012666666666666666,0.013333333333333334
cross_cell_12,12,512,6,loss_mia,1,0.014,0.006666666666666667
cross_cell_12,12,512,7,affine_channel_lira,1,0.012,0.02266666666666667
cross_cell_12,12,512,7,latent_lira_mismatched,1,0.010666666666666666,0.013333333333333334
cross_cell_12,12,512,7,loss_mia,1,0.011333333333333334,0.008666666666666666
cross_cell_12,12,512,8,affine_channel_lira,1,0.010666666666666666,0.028
cross_cell_12,12,512,8,latent_lira_mismatched,1,0.012666666666666666,0.02
cross_cell_12,12,512,8,loss_mia,1,0.011333333333333334,0.008
cross_cell_12,12,512,9,affine_channel_lira,1,0.010666666666666666,0.023333333333333334
cross_cell_12,12,512,9,latent_lira_mismatched,1,0.015333333333333332,0.014
cross_cell_12,12,512,9,loss_mia,1,0.014666666666666666,0.008
cross_cell_2,2,1024,0,affine_channel_lira,66,0.013333333333333334,0.029333333333333333
cross_cell_2,2,1024,0,latent_lira_mismatched,66,0.014666666666666666,0.021666666666666667
cross_cell_2,2,1024,0,loss_mia,66,0.024666666666666667,0.022
cross_cell_2,2,1024,1,affine_channel_lira,66,0.014,0.03
cross_cell_2,2,1024,1,latent_lira_mismatched,66,0.014666666666666666,0.02266666666666667
