strategy,auxiliary_target_count,shots,contrast,n_replicates,auc_difference_median,auc_difference_q05,auc_difference_q95,tpr_at_0_1pct_fpr_difference_median,tpr_at_0_1pct_fpr_difference_q05,tpr_at_0_1pct_fpr_difference_q95,actual_fpr_difference_median,actual_fpr_difference_q05,actual_fpr_difference_q95,calibrated_tpr_difference_median,calibrated_tpr_difference_q05,calibrated_tpr_difference_q95
cross_cell_12,12,1024,affine_minus_loss,1,0.025493333333333368,0.025493333333333368,0.025493333333333368,0.0013333333333333335,0.0013333333333333335,0.0013333333333333335,-0.002666666666666667,-0.002666666666666667,-0.002666666666666667,0.017666666666666667,0.017666666666666667,0.017666666666666667
cross_cell_12,12,1024,affine_minus_mismatched_lira,1,0.008653111111111167,0.008653111111111167,0.008653111111111167,-0.001,-0.001,-0.001,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.008,0.008,0.008
cross_cell_12,12,128,affine_minus_loss,1,0.012727222222222279,0.012727222222222279,0.012727222222222279,0.004333333333333333,0.004333333333333333,0.004333333333333333,0.0,0.0,0.0,0.014333333333333333,0.014333333333333333,0.014333333333333333
cross_cell_12,12,128,affine_minus_mismatched_lira,1,0.006210666666666698,0.006210666666666698,0.006210666666666698,0.005333333333333334,0.005333333333333334,0.005333333333333334,-0.005999999999999999,-0.005999999999999999,-0.005999999999999999,0.006666666666666667,0.006666666666666667,0.006666666666666667
cross_cell_12,12,512,affine_minus_loss,1,0.021031333333333346,0.021031333333333346,0.021031333333333346,0.002666666666666667,0.002666666666666667,0.002666666666666667,-0.000666666666666667,-0.000666666666666667,-0.000666666666666667,0.01633333333333333,0.01633333333333333,0.01633333333333333
cross_cell_12,12,512,affine_minus_mismatched_lira,1,0.007693111111111095,0.007693111111111095,0.007693111111111095,0.0006666666666666668,0.0006666666666666668,0.0006666666666666668,-0.002333333333333334,-0.002333333333333334,-0.002333333333333334,0.009333333333333334,0.009333333333333334,0.009333333333333334
cross_cell_2,2,1024,affine_minus_loss,66,0.024638333333333345,0.021070388888888916,0.027670444444444414,0.0016666666666666668,0.0006666666666666668,0.003,-0.012833333333333334,-0.04316666666666667,0.005333333333333334,0.009166666666666668,-0.013749999999999998,0.026083333333333333
cross_cell_2,2,1024,affine_minus_mismatched_lira,66,0.00700255555555554,0.0030147222222221964,0.009978111111111132,-0.001,-0.002,0.0003333333333333334,-0.0005,-0.01025,0.008666666666666666,0.008166666666666666,-0.004999999999999999,0.0265
cross_cell_2,2,128,affine_minus_loss,66,0.011913444444444476,0.00910311111111109,0.014046166666666651,0.003333333333333333,0.0004166666666666667,0.004916666666666666,-0.002666666666666666,-0.019416666666666665,0.006,0.012333333333333333,-0.002333333333333333,0.023999999999999997
cross_cell_2,2,128,affine_minus_mismatched_lira,66,0.00617577777777778,0.004313333333333377,0.007943500000000006,0.004333333333333333,0.0016666666666666666,0.006,-0.009666666666666667,-0.022333333333333334,0.0019166666666666663,0.002666666666666666,-0.011666666666666667,0.018666666666666665
cross_cell_2,2,512,affine_minus_loss,66,0.020710333333333303,0.015759666666666686,0.02322977777777778,0.0023333333333333335,0.0014166666666666668,0.0035833333333333338,-0.009000000000000001,-0.03683333333333333,0.006166666666666667,0.009666666666666665,-0.009500000000000001,0.026333333333333334
cross_cell_2,2,512,affine_minus_mismatched_lira,66,0.0068947777777777774,0.0016493333333332943,0.010280055555555584,0.00033333333333333327,-0.0003333333333333335,0.0010000000000000002,-0.002333333333333333,-0.012000000000000002,0.008583333333333333,0.008666666666666666,-0.007916666666666667,0.02825
cross_cell_4,4,1024,affine_minus_loss,32,0.025369111111111148,0.02287142222222225,0.027519044444444456,0.001666666666666667,0.0008500000000000002,0.0024833333333333335,-0.0031666666666666675,-0.024616666666666665,0.001333333333333333,0.01616666666666667,0.004549999999999999,0.025
cross_cell_4,4,1024,affine_minus_mismatched_lira,32,0.008516444444444438,0.00625116666666666,0.009821166666666669,-0.0006666666666666668,-0.002,0.0,-0.0014999999999999996,-0.010816666666666667,0.009599999999999997,0.008166666666666666,-0.0064666666666666674,0.026483333333333334
cross_cell_4,4,128,affine_minus_loss,32,0.012696777777777807,0.0112336,0.013679933333333356,0.003666666666666667,0.0020333333333333336,0.005333333333333334,-0.0005000000000000004,-0.009266666666666666,0.0030000000000000005,0.013166666666666667,0.0055499999999999985,0.021416666666666667
cross_cell_4,4,128,affine_minus_mismatched_lira,32,0.006300888888888939,0.005266155555555543,0.007145899999999994,0.005,0.003,0.006,-0.006666666666666666,-0.023216666666666667,0.0014833333333333337,0.005166666666666667,-0.01425,0.018933333333333333
cross_cell_4,4,512,affine_minus_loss,32,0.020923999999999998,0.018123922222222213,0.023140555555555564,0.002666666666666667,0.00185,0.0034833333333333335,-0.0011666666666666665,-0.02158333333333333,0.0021166666666666656,0.015166666666666665,0.004366666666666668,0.02233333333333333
cross_cell_4,4,512,affine_minus_mismatched_lira,32,0.0074458888888889185,0.004600699999999983,0.009949444444444436,0.0006666666666666668,0.0001833333333333333,0.0010000000000000002,-0.002666666666666666,-0.01345,0.010333333333333333,0.008666666666666668,-0.006266666666666665,0.027999999999999997
