target_id,status,return_code,gpu,seconds,log_path,attack_path
MNIST_QNN_z206_zz926_z_s45,error,1,0,6.93,reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_z_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_z_s45/target_attack_data.pt
MNIST_QNN_z206_zz926_zz_s43,error,1,0,6.933,reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s43/target_attack_data.pt
MNIST_QNN_z206_zz926_zz_s44,error,1,0,7.174,reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s44/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s44/target_attack_data.pt
MNIST_QNN_z206_zz926_zz_s45,error,1,0,6.854,reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/MNIST_QNN_z206_zz926_zz_s45/target_attack_data.pt
Moons_QNN_z19651_zz19652_z_s43,ok,0,0,54.596,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s43/target_attack_data.pt
Moons_QNN_z19651_zz19652_z_s44,ok,0,0,57.99,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s44/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s44/target_attack_data.pt
Moons_QNN_z19651_zz19652_z_s45,ok,0,0,54.882,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_z_s45/target_attack_data.pt
Moons_QNN_z19651_zz19652_zz_s43,ok,0,0,58.762,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s43/target_attack_data.pt
Moons_QNN_z19651_zz19652_zz_s44,ok,0,0,58.689,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s44/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s44/target_attack_data.pt
Moons_QNN_z19651_zz19652_zz_s45,ok,0,0,59.483,reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z19651_zz19652_zz_s45/target_attack_data.pt
Moons_QNN_z8521_zz8522_z_s43,ok,0,0,81.684,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s43/target_attack_data.pt
Moons_QNN_z8521_zz8522_z_s44,ok,0,0,81.124,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s44/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s44/target_attack_data.pt
Circles_QNN_z1741_zz1742_zz_s43,ok,0,1,1024.26,reviewer_runs/matched_gap_mia/Circles_QNN_z1741_zz1742_zz_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Circles_QNN_z1741_zz1742_zz_s43/target_attack_data.pt
Moons_QNN_z8521_zz8522_z_s45,ok,0,0,82.814,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_z_s45/target_attack_data.pt
Moons_QNN_z8521_zz8522_zz_s44,ok,0,0,107.84,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s44/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s44/target_attack_data.pt
Moons_QNN_z8521_zz8522_zz_s45,ok,0,0,102.746,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s45/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s45/target_attack_data.pt
Moons_QNN_z8521_zz8522_zz_s43,ok,0,1,558.808,reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s43/train.log,/home/najeeb/qurif_nuerips_rebuttal/reviewer_runs/matched_gap_mia/Moons_QNN_z8521_zz8522_zz_s43/target_attack_data.pt
