scheme,heldout_scope,heldout_id,calibration_ids,mode,shots,fold,n_train_public_nonmember_pairs,n_test_heldout_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s143,MNIST_QNN_eff_su2_r1_d2_p7_s144;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,0,3204,398,-0.40649382662827005,0.9517600516075142,2.251263505115292,2.2505607538869583,0.4555798703013222,1.1199253481861754e-16,2.2505607538869583,-0.17695774261873642,0.7890100984243564,0.901685393258427,2.065326948065777,0.5395331892994084,0.15421745359519562,2.05956121040704,0.11938846686999009,1.5554407699204535,0.9020100502512562
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s143,MNIST_QNN_eff_su2_r1_d2_p7_s144;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,1,3216,392,-0.4704075774316421,0.9753709795409449,2.247638994825379,2.2469399934106136,0.47559869384601594,-1.0439410530057443e-16,2.2469399934106136,-0.20971118026305893,0.7028300818873734,0.9014303482587065,2.268585221417567,0.4996979819898044,0.18899951577702134,2.260698584480081,-0.14401007955644166,2.1449825842613617,0.8877551020408163
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s143,MNIST_QNN_eff_su2_r1_d2_p7_s144;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,2,3168,416,-0.44883941110261194,0.98110625634221,2.285641543866913,2.2849199522013004,0.469442749227563,3.140024716111554e-17,2.2849199522013004,-0.15957842400850392,0.7221323897672742,0.9008838383838383,2.142646573695745,0.4948427589488643,0.08978542715649893,2.1407645636175037,0.1009745895033678,2.445335705336433,0.9230769230769231
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s143,MNIST_QNN_eff_su2_r1_d2_p7_s144;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,3,3156,422,-0.49212246901138745,0.9822529376476486,2.2484338929346954,2.247721348504527,0.4713643849815483,-9.230751636934128e-17,2.247721348504527,-0.07770130741828506,0.5792311373795975,0.9005069708491762,2.1203593450541507,0.4205636229538371,0.026831012926319488,2.1201895785291973,0.00890868599919133,1.5554918542664238,0.909952606635071
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s143,MNIST_QNN_eff_su2_r1_d2_p7_s144;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,4,3256,372,-0.4284682694489913,0.9815351083154084,2.2370050023779275,2.2363178559933004,0.47971932546899265,1.265708804486665e-16,2.2363178559933004,-0.16086735762349885,0.926419656287373,0.902027027027027,2.135122527374639,0.5094714329871458,-0.04976421089020929,2.1345425107542697,-0.08315898743523359,1.5248310849980395,0.8978494623655914
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s144,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,0,3204,398,-0.41207469308818134,0.9811519780250728,2.190844958649241,2.1901610675888294,0.4830713688159891,-5.7659522876912e-17,2.1901610675888294,-0.10352389893452334,1.1521212427311243,0.8985642946317104,2.1866298439561884,0.4982103731243458,-0.005714023370425314,2.186622378102078,-0.07321785188704709,0.9830727911573618,0.9120603015075377
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s144,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,1,3216,392,-0.45285678731313683,0.9933711654425642,2.176321383321583,2.1756445612298547,0.5014827833305389,1.2814514513086385e-16,2.1756445612298547,-0.07543679876355701,1.0603218664140792,0.8924129353233831,2.3014299098637423,0.44868073420288623,0.1150904461810291,2.298550373433936,0.185557574824063,1.5253998755191551,0.8826530612244898
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s144,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,2,3168,416,-0.4501846739223069,1.0012526512507625,2.2123297831681046,2.211631336494607,0.4960690414204172,-4.0371746350005693e-17,2.211631336494607,-0.12592605284572417,0.9922186121151566,0.8907828282828283,2.170915069572948,0.44173293935695035,-0.09491693343663644,2.1688390938577955,-0.3504750294610729,1.2353567734146171,0.9110576923076923
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s144,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,3,3156,422,-0.4723538557000818,1.0096704955735571,2.20131240883355,2.2006147975313435,0.5014760301082457,-9.005611353106466e-17,2.2006147975313435,-0.07717525797341547,0.9849459208714655,0.8922686945500634,2.3529465582228157,0.40958288576275736,0.0644641055806269,2.352063325028534,-0.5604473217153431,1.4499016454864817,0.8933649289099526
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s144,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s145,ideal_shot,128,4,3256,372,-0.4252424937292524,1.0020355359861315,2.1837741176028644,2.1831033222813705,0.5007206318174473,-4.800964430811488e-17,2.1831033222813705,-0.08174209977449891,1.1653487646188223,0.894963144963145,2.3384299244689326,0.40246067478759895,-0.20543825803037746,2.329388253123386,-0.1462978229267079,0.057794886893255626,0.8817204301075269
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s145,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s144,ideal_shot,128,0,3204,398,-0.4128086523253094,0.9691434052505005,2.2276957182590826,2.227000323917726,0.45694950280767566,-1.419311332354757e-16,2.227000323917726,-0.12187186409945394,1.4994737036645027,0.898876404494382,2.339158756628467,0.5374102291285693,-0.19191276259112316,2.3312728669690896,0.034430443677147954,0.29746735520098033,0.8618090452261307
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s145,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s144,ideal_shot,128,1,3216,392,-0.4224437253810067,0.9677210141869066,2.1886463544100887,2.1879656993308356,0.46984033885462073,1.3256394323882465e-16,2.1879656993308356,-0.14014896237436406,1.3489032577967164,0.900497512437811,2.255653497597639,0.4488919669402237,0.017826818419262685,2.2555830522881455,-0.10960458300175309,0.12871390341737454,0.8928571428571429
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_p7_s145,MNIST_QNN_eff_su2_r1_d2_p7_s143;MNIST_QNN_eff_su2_r1_d2_p7_s144,ideal_shot,128,2,3168,416,-0.41063276911082414,0.9856982989242584,2.2209393814384257,2.220238216659645,0.47162526851238407,-1.0541511546945931e-16,2.220238216659645,-0.11158421059800103,1.363658884559099,0.8977272727272727,2.0922660951113117,0.5030482723012837,-0.052047197968655014,2.091618632049339,0.0027766881266150746,0.24774332610407157,0.9182692307692307
