scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,1000,1000,0.48871600000000004,0.006000000000000005,0.004,0.001,0.008,0.01,0.043,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,1000,1000,0.49494800000000005,0.020999999999999908,0.0,0.0,0.006,0.007,0.051,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,1000,1000,0.5144799999999999,0.038000000000000034,0.005,0.001,0.014,0.01,0.054,0.049
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,3000,3000,0.4848014444444445,0.00033333333333340764,0.0003333333333333333,0.001,0.007,0.009666666666666667,0.04133333333333333,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,1000,1000,0.48226900000000006,0.0030000000000000027,0.001,0.001,0.005,0.009,0.042,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,1000,1000,0.480599,0.005999999999999998,0.001,0.001,0.014,0.01,0.048,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,1000,1000,0.49132200000000004,0.010000000000000009,0.0,0.0,0.004,0.009,0.034,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,3000,3000,0.5030899999999999,0.02633333333333332,0.001,0.001,0.011333333333333334,0.009666666666666667,0.04733333333333333,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,1000,1000,0.483909,0.010000000000000009,0.002,0.001,0.01,0.007,0.042,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,1000,1000,0.5043439999999999,0.028000000000000025,0.0,0.0,0.005,0.006,0.052,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,1000,1000,0.51977,0.04800000000000004,0.002,0.001,0.011,0.009,0.053,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,3000,3000,0.48409344444444447,0.0016666666666667052,0.0016666666666666668,0.001,0.009666666666666667,0.009666666666666667,0.043333333333333335,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,1000,1000,0.476223,0.016000000000000014,0.0,0.0,0.005,0.007,0.046,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,1000,1000,0.487653,0.011999999999999983,0.004,0.001,0.017,0.009,0.043,0.047
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,noise_augmented_lira,16,1000,1000,0.487838,0.014000000000000012,0.002,0.001,0.009,0.01,0.041,0.048
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,3000,3000,0.5023651111111112,0.019333333333333313,0.0016666666666666668,0.0003333333333333333,0.010666666666666666,0.009,0.047,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,1000,1000,0.491378,0.02400000000000002,0.003,0.0,0.008,0.008,0.047,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,1000,1000,0.5113669999999999,0.046999999999999986,0.002,0.001,0.016,0.01,0.054,0.046
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,noise_augmented_lira,16,1000,1000,0.503083,0.03400000000000003,0.004,0.001,0.01,0.009,0.042,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,3000,3000,0.5135807777777778,0.026999999999999913,0.0006666666666666666,0.001,0.017666666666666667,0.009666666666666667,0.053,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,1000,1000,0.492734,0.013000000000000012,0.002,0.0,0.011,0.01,0.045,0.046
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,1000,1000,0.508388,0.027000000000000024,0.0,0.0,0.007,0.01,0.045,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,1000,1000,0.533624,0.061,0.002,0.001,0.012,0.008,0.073,0.049
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,3000,3000,0.5189991111111112,0.04133333333333333,0.0003333333333333333,0.001,0.011,0.009333333333333334,0.05566666666666667,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,1000,1000,0.501081,0.03,0.001,0.001,0.005,0.007,0.056,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,1000,1000,0.5332600000000001,0.07299999999999995,0.0,0.0,0.014,0.01,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,1000,1000,0.518236,0.05500000000000005,0.003,0.0,0.021,0.01,0.051,0.048
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,3000,3000,0.4788334444444444,0.003666666666666707,0.001,0.0006666666666666666,0.008333333333333333,0.009666666666666667,0.04633333333333333,0.048666666666666664
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,1000,1000,0.48417200000000005,0.02200000000000002,0.003,0.001,0.012,0.01,0.058,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,1000,1000,0.48910400000000004,0.015000000000000013,0.004,0.001,0.01,0.008,0.043,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,1000,1000,0.463411,0.0050000000000000044,0.0,0.0,0.004,0.002,0.04,0.049
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,3000,3000,0.49902227777777775,0.018666666666666665,0.0003333333333333333,0.0003333333333333333,0.009666666666666667,0.009,0.05,0.049666666666666665
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,1000,1000,0.502215,0.033999999999999975,0.0,0.0,0.012,0.01,0.053,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,1000,1000,0.506362,0.03799999999999992,0.001,0.001,0.012,0.01,0.049,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,1000,1000,0.488715,0.010000000000000009,0.0,0.0,0.009,0.01,0.045,0.047
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,3000,3000,0.49124466666666666,0.005333333333333357,0.002,0.001,0.008666666666666666,0.009666666666666667,0.043333333333333335,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,1000,1000,0.495479,0.02300000000000002,0.005,0.001,0.009,0.01,0.045,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,1000,1000,0.501854,0.03300000000000003,0.001,0.0,0.011,0.009,0.045,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,1000,1000,0.476764,0.008000000000000007,0.002,0.0,0.007,0.01,0.044,0.048
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,3000,3000,0.505617611111111,0.02833333333333332,0.0023333333333333335,0.001,0.011333333333333334,0.01,0.04466666666666667,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,1000,1000,0.501051,0.03600000000000003,0.006,0.0,0.017,0.01,0.056,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,1000,1000,0.5126854999999999,0.03500000000000003,0.001,0.001,0.007,0.01,0.05,0.048
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,1000,1000,0.503404,0.02300000000000002,0.002,0.001,0.006,0.01,0.032,0.047
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,3000,3000,0.48232433333333335,0.0006666666666667043,0.0006666666666666666,0.001,0.008,0.01,0.043666666666666666,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,1000,1000,0.479491,0.005000000000000001,0.003,0.001,0.013,0.01,0.042,0.05
