Target ID,Target seed,Risk configuration,Structural cell,Mode,Shots,Simulator seeds,Δ test accuracy vs exact,Δ test accuracy 95% CI,Δ loss AUC vs exact,Δ loss AUC 95% CI,Valid bootstrap
MNIST_QNN_eff_su2_r5_d2_s44,44,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,1024,10,-0.03,"[-0.040, -0.021]",0.000855,"[-0.005, 0.006]",5000
MNIST_QNN_eff_su2_r5_d2_s44,44,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,128,10,-0.13,"[-0.150, -0.110]",-0.0099899999999999,"[-0.028, 0.008]",5000
MNIST_QNN_eff_su2_r5_d2_s44,44,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,512,10,-0.069,"[-0.080, -0.058]",-0.0011499999999999,"[-0.008, 0.006]",5000
MNIST_QNN_eff_su2_r5_d2_s44,44,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,1024,10,-0.057,"[-0.068, -0.045]",0.0054,"[0.001, 0.009]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,128,10,-0.057,"[-0.080, -0.031]",-0.01062,"[-0.027, 0.006]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,512,10,-0.007,"[-0.021, 0.007]",0.0017799999999999,"[-0.003, 0.007]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,ideal_shot,1024,10,0.01,"[0.002, 0.019]",-0.00049,"[-0.007, 0.005]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,128,10,-0.078,"[-0.102, -0.052]",-0.01763,"[-0.039, 0.004]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,512,10,-0.012,"[-0.028, 0.004]",2.999999999996339e-05,"[-0.011, 0.011]",5000
MNIST_QNN_eff_su2_r5_d2_s45,45,corrected_eff_su2_repetition_control,eff_su2_r5_d2,noisy_shot,1024,10,0.01,"[-0.002, 0.022]",-0.00572,"[-0.014, 0.004]",5000
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,ideal_shot,128,10,-0.02,"[-0.031, -0.010]",-0.0035,"[-0.014, 0.008]",5000
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,ideal_shot,512,10,-0.013,"[-0.021, -0.004]",-0.000275,"[-0.004, 0.003]",5000
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,ideal_shot,1024,10,-0.007,"[-0.015, 0.002]",-0.00103,"[-0.003, 0.001]",5000
MNIST_QNN_z_r1_d6_s43,43,medium_risk_z_anchor,z_r1_d6,noisy_shot,128,10,-0.022,"[-0.030, -0.014]",-0.0202,"[-0.031, -0.008]",5000
