Model,Rows,Structural cells,R²,R² 95% CI,RMSE,RMSE 95% CI,Valid bootstrap,Interpretation
M1_gap,36,12,0.9351499048454603,"[0.852, 0.986]",0.013079480749553462,"[0.006, 0.015]",5000,"descriptive association, not causal"
M2_behavior_resources,36,12,0.950076379604829,"[0.887, 0.991]",0.011475938979176646,"[0.005, 0.013]",5000,"descriptive association, not causal"
