scheme,mode,shots,attack,reference_count,n_targets,replication_unit,auc_mean,auc_sd_targets,auc_min,auc_max,advantage_mean,advantage_sd_targets,advantage_min,advantage_max,tpr_at_0_1pct_fpr_mean,tpr_at_0_1pct_fpr_sd_targets,tpr_at_0_1pct_fpr_min,tpr_at_0_1pct_fpr_max,tpr_at_1pct_fpr_mean,tpr_at_1pct_fpr_sd_targets,tpr_at_1pct_fpr_min,tpr_at_1pct_fpr_max,tpr_at_5pct_fpr_mean,tpr_at_5pct_fpr_sd_targets,tpr_at_5pct_fpr_min,tpr_at_5pct_fpr_max
leave_target_out,ideal_shot,128,affine_channel_lira,16,3,independently trained target checkpoint after averaging simulator seeds,0.5090583333333333,0.011175002330350226,0.4972375,0.51945,0.07083333333333336,0.009464847243000465,0.06000000000000001,0.07750000000000004,0.0033333333333333335,0.0014433756729740645,0.0025,0.005,0.0175,0.0114564392373896,0.005,0.0275,0.05666666666666667,0.009464847243000457,0.05,0.0675
leave_target_out,ideal_shot,128,deconvolved_lira,16,3,independently trained target checkpoint after averaging simulator seeds,0.4891916666666667,0.010222350920083556,0.47775,0.497425,0.04416666666666667,0.01376892636821528,0.034999999999999976,0.06000000000000003,0.01,0.006614378277661475,0.005,0.017499999999999998,0.018333333333333333,0.011273124382057237,0.0075,0.030000000000000002,0.04833333333333334,0.005204164998665336,0.042499999999999996,0.052500000000000005
leave_target_out,ideal_shot,128,empirical_channel_lira,16,3,independently trained target checkpoint after averaging simulator seeds,0.5027916666666666,0.006982683193682286,0.494975,0.5084124999999999,0.06916666666666671,0.013768926368215268,0.05500000000000002,0.08250000000000005,0.0033333333333333335,0.0014433756729740645,0.0025,0.005,0.010833333333333334,0.007637626158259732,0.0025,0.017499999999999998,0.0525,0.006614378277661479,0.0475,0.060000000000000005
leave_target_out,ideal_shot,128,latent_lira_mismatched,16,3,independently trained target checkpoint after averaging simulator seeds,0.48593333333333333,0.013090683312315419,0.4730125,0.4991875,0.03916666666666667,0.008036375634160795,0.03,0.044999999999999984,0.005833333333333334,0.001443375672974064,0.005,0.0075,0.015833333333333335,0.01233220715579062,0.0075,0.030000000000000002,0.0425,0.004330127018922193,0.0375,0.045
leave_target_out,ideal_shot,128,loss_mia,0,3,independently trained target checkpoint after averaging simulator seeds,0.5301666666666667,0.016972193864769978,0.5119374999999999,0.5455125000000001,0.09416666666666669,0.03253203549323855,0.06250000000000006,0.12750000000000003,0.0016666666666666668,0.0014433756729740645,0.0,0.0025,0.0075,0.0025,0.005,0.01,0.04916666666666667,0.005204164998665336,0.045,0.05500000000000001
leave_target_out,ideal_shot,128,matched_reference_lira_offline,16,3,independently trained target checkpoint after averaging simulator seeds,0.4971208333333334,0.03490735580910319,0.46648750000000005,0.535125,0.05999999999999998,0.022912878474779224,0.03999999999999998,0.08500000000000002,0.009166666666666667,0.008036375634160795,0.0,0.015,0.015833333333333335,0.01010362971081845,0.005,0.024999999999999998,0.0525,0.02410912690248239,0.035,0.08
leave_target_out,ideal_shot,128,matched_reference_lira_offline_fixed_variance,16,3,independently trained target checkpoint after averaging simulator seeds,0.5020791666666667,0.037128998802598165,0.46788749999999996,0.541575,0.0725,0.02000000000000002,0.052499999999999984,0.09250000000000003,0.005,0.004330127018922193,0.0,0.0075,0.015,0.0075,0.0075,0.0225,0.04416666666666667,0.003818813079129866,0.04,0.0475
leave_target_out,ideal_shot,128,matched_reference_lira_online,16,3,independently trained target checkpoint after averaging simulator seeds,0.49966250000000006,0.02530962329332462,0.483275,0.5288125,0.07250000000000001,0.03132491021535417,0.04000000000000001,0.10250000000000001,0.006666666666666667,0.007637626158259733,0.0,0.015,0.015833333333333335,0.012583057392117916,0.0025,0.0275,0.06916666666666667,0.01258305739211791,0.0575,0.08249999999999999
leave_target_out,ideal_shot,128,matched_reference_lira_online_fixed_variance,16,3,independently trained target checkpoint after averaging simulator seeds,0.4923875,0.025585591648425866,0.46723750000000003,0.5183875,0.05833333333333335,0.01701714821388511,0.045000000000000026,0.07750000000000001,0.004166666666666667,0.005204164998665332,0.0,0.01,0.012499999999999999,0.004330127018922193,0.0075,0.015000000000000001,0.04666666666666667,0.008036375634160799,0.0375,0.052500000000000005
leave_target_out,ideal_shot,128,noise_augmented_lira,16,3,independently trained target checkpoint after averaging simulator seeds,0.4986041666666667,0.0016606349187384278,0.4970625,0.5003625,0.05833333333333335,0.0072168783648703366,0.05,0.06250000000000006,0.0025,0.004330127018922192,0.0,0.0075,0.009166666666666668,0.0038188130791298666,0.005,0.0125,0.051666666666666666,0.02155419526062927,0.0325,0.075
