mode,shots,contrast,n_targets,replication_unit,auc_difference_mean,auc_difference_sd_targets,auc_difference_min,auc_difference_max,advantage_difference_mean,advantage_difference_sd_targets,advantage_difference_min,advantage_difference_max,tpr_at_0_1pct_fpr_difference_mean,tpr_at_0_1pct_fpr_difference_sd_targets,tpr_at_0_1pct_fpr_difference_min,tpr_at_0_1pct_fpr_difference_max,tpr_at_1pct_fpr_difference_mean,tpr_at_1pct_fpr_difference_sd_targets,tpr_at_1pct_fpr_difference_min,tpr_at_1pct_fpr_difference_max,tpr_at_5pct_fpr_difference_mean,tpr_at_5pct_fpr_difference_sd_targets,tpr_at_5pct_fpr_difference_min,tpr_at_5pct_fpr_difference_max
ideal_shot,128,affine_minus_loss,3,target checkpoint,-0.021108333333333357,0.012064729932051297,-0.035025000000000084,-0.013600000000000056,-0.02333333333333334,0.02602082499332666,-0.05250000000000002,-0.002500000000000044,0.0016666666666666668,0.0014433756729740645,0.0,0.0025,0.01,0.009013878188659974,0.0,0.0175,0.007500000000000002,0.0049999999999999975,0.0025000000000000022,0.012499999999999997
ideal_shot,128,affine_minus_matched_reference,3,target checkpoint,0.0166708333333333,0.03363957939813356,-0.021150000000000002,0.043249999999999955,0.012500000000000006,0.02645751311064591,-0.0175,0.032500000000000015,-0.0008333333333333332,0.006291528696058958,-0.0075,0.005,0.005,0.012990381056766582,-0.010000000000000002,0.0125,0.010000000000000002,0.008660254037844388,0.0,0.015000000000000006
ideal_shot,128,affine_minus_mismatched,3,target checkpoint,0.02312499999999997,0.0025010310373923834,0.02026249999999996,0.02488749999999995,0.03166666666666668,0.0028867513459481273,0.030000000000000013,0.03500000000000002,-0.0025,0.0024999999999999996,-0.004999999999999999,0.0,0.001666666666666667,0.023228933107943925,-0.025,0.0175,0.014166666666666673,0.007637626158259733,0.007500000000000007,0.022500000000000006
ideal_shot,128,matched_reference_minus_learned,3,target checkpoint,0.00032083333333332575,0.025942467395822854,-0.028262499999999968,0.022374999999999978,0.009166666666666693,0.024022558842332623,-0.01249999999999997,0.03500000000000003,0.0,0.005,-0.005,0.005,-0.0008333333333333335,0.010408329997330663,-0.0125,0.0075,0.000833333333333334,0.0038188130791298675,-0.0024999999999999953,0.0050000000000000044
ideal_shot,128,matched_reference_minus_loss,3,target checkpoint,-0.03777916666666666,0.04248570041300176,-0.07827500000000004,0.006450000000000067,-0.03583333333333335,0.04612031367340569,-0.07500000000000002,0.014999999999999958,0.0025,0.006614378277661476,-0.0025,0.01,0.005,0.005000000000000001,0.0,0.010000000000000002,-0.0025,0.005000000000000001,-0.0075,0.0025000000000000022
ideal_shot,128,matched_reference_minus_mismatched,3,target checkpoint,0.006454166666666668,0.03412935488085488,-0.018362500000000004,0.045375,0.01916666666666668,0.02466441431158124,0.0025000000000000022,0.047500000000000014,-0.0016666666666666663,0.003818813079129867,-0.005,0.0025000000000000005,-0.003333333333333334,0.010408329997330663,-0.015000000000000001,0.004999999999999999,0.00416666666666667,0.010408329997330665,-0.0075,0.012500000000000004
noisy_shot,128,affine_minus_loss,3,target checkpoint,-0.013341666666666733,0.009967606386858157,-0.019400000000000084,-0.0018374999999999364,-0.013333333333333336,0.03165569985537098,-0.047500000000000014,0.015000000000000013,0.0016666666666666663,0.0014433756729740643,0.0,0.0025,0.008333333333333333,0.005204164998665332,0.0025000000000000005,0.0125,-0.0008333333333333318,0.011814539065631523,-0.010000000000000002,0.012500000000000004
noisy_shot,128,affine_minus_matched_reference,3,target checkpoint,0.004258333333333327,0.009178578434775993,-0.006337500000000107,0.009762500000000007,0.009166666666666665,0.005773502691896279,0.0024999999999999745,0.012500000000000039,-0.003333333333333334,0.001443375672974065,-0.005000000000000001,-0.0025,0.000833333333333333,0.0038188130791298675,-0.0024999999999999988,0.005000000000000001,-0.017499999999999998,0.014999999999999993,-0.03249999999999999,-0.0025000000000000022
noisy_shot,128,affine_minus_mismatched,3,target checkpoint,0.02215833333333328,0.00659088306551805,0.014824999999999977,0.02758749999999982,0.032499999999999994,0.020463381929681144,0.014999999999999986,0.05500000000000002,-0.001666666666666667,0.006291528696058957,-0.0075,0.004999999999999999,0.004166666666666666,0.018929694486000914,-0.0175,0.017499999999999998,0.010000000000000002,0.015612494995995992,-0.0024999999999999953,0.027499999999999997
noisy_shot,128,matched_reference_minus_learned,3,target checkpoint,0.016570833333333274,0.04074223916383755,-0.010287500000000116,0.06345,0.015000000000000005,0.02179449471770337,0.0,0.04000000000000001,0.004166666666666667,0.007637626158259734,-0.0024999999999999996,0.0125,0.005833333333333335,0.011547005383792512,-0.007499999999999996,0.0125,0.019166666666666665,0.03125833222251841,-0.012499999999999997,0.04999999999999999
noisy_shot,128,matched_reference_minus_loss,3,target checkpoint,-0.01760000000000006,0.010033296130883438,-0.02916250000000009,-0.011187500000000017,-0.022500000000000003,0.02633913438213183,-0.04999999999999999,0.0024999999999999745,0.005,0.0025,0.0025,0.007500000000000001,0.0075,0.0025000000000000014,0.004999999999999999,0.010000000000000002,0.016666666666666666,0.020966242709015207,-0.0075,0.030000000000000006
noisy_shot,128,matched_reference_minus_mismatched,3,target checkpoint,0.017899999999999954,0.01469289262704929,0.00506249999999997,0.03392499999999993,0.02333333333333333,0.016645820296198467,0.012500000000000011,0.04249999999999998,0.001666666666666667,0.007637626158259733,-0.004999999999999999,0.01,0.0033333333333333327,0.016645820296198485,-0.015000000000000003,0.0175,0.027499999999999997,0.018874586088176867,0.007500000000000007,0.045
