scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,affine_channel_lira,16,200,200,0.48905,0.03500000000000003,0.005,0.0,0.01,0.005,0.035,0.03
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,affine_channel_lira,16,200,200,0.511725,0.08500000000000002,0.0,0.0,0.0,0.0,0.05,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,600,600,0.5128527777777778,0.06,0.0,0.0,0.005,0.006666666666666667,0.06166666666666667,0.04666666666666667
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,200,200,0.523975,0.08000000000000007,0.0,0.0,0.0,0.0,0.035,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,200,200,0.531925,0.11499999999999999,0.0,0.0,0.045,0.01,0.065,0.03
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,affine_channel_lira,16,200,200,0.48275,0.035,0.01,0.0,0.04,0.01,0.085,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,600,600,0.5001166666666667,0.039999999999999925,0.0,0.0,0.005,0.0033333333333333335,0.03833333333333333,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,200,200,0.4977,0.05500000000000005,0.005,0.0,0.005,0.0,0.045,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,200,200,0.48777500000000007,0.050000000000000044,0.005,0.0,0.005,0.0,0.035,0.025
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,empirical_channel_lira,16,200,200,0.514575,0.08500000000000002,0.0,0.0,0.005,0.005,0.05,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,600,600,0.5064416666666667,0.065,0.0016666666666666668,0.0,0.013333333333333334,0.01,0.058333333333333334,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,200,200,0.519125,0.08500000000000008,0.0,0.0,0.0,0.0,0.055,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,empirical_channel_lira,16,200,200,0.5222,0.11500000000000005,0.0,0.0,0.02,0.01,0.06,0.04
