fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7564276
0.0,0.05,0.6863816
0.025,0.05,0.674296
0.025,0.125,0.6536508
0.05,0.125,0.6321325
0.05,0.225,0.6088918
0.075,0.225,0.6082343
0.075,0.25,0.603375
0.125,0.25,0.58714855
0.125,0.35,0.5818343
0.15,0.35,0.58174145
0.15,0.375,0.5809276
0.225,0.375,0.5786983
0.225,0.4,0.57831544
0.25,0.4,0.5761684
0.25,0.425,0.5720789
0.275,0.425,0.5718888
0.275,0.5,0.56468296
0.3,0.5,0.5607579
0.3,0.55,0.55767983
0.325,0.55,0.55629295
0.325,0.625,0.5534756
0.45,0.625,0.5433649
0.45,0.65,0.54291874
0.475,0.65,0.5423937
0.475,0.7,0.537891
0.525,0.7,0.5338061
0.525,0.75,0.5291563
0.55,0.75,0.5286212
0.55,0.8,0.45964423
0.6,0.8,0.43761668
0.6,0.825,0.4372743
0.7,0.825,0.41752657
0.7,0.85,0.41582668
0.8,0.85,0.37846154
0.8,0.925,0.36302176
0.825,0.925,0.33637953
0.825,0.95,0.33155248
0.95,0.95,0.23334266
0.95,0.975,0.21937186
0.975,0.975,0.1952538
0.975,1.0,0.1454793
1.0,1.0,0.03762983
