fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.64988744
0.05,0.025,0.64857733
0.05,0.075,0.6473073
0.1,0.075,0.6471499
0.1,0.1,0.64699304
0.125,0.1,0.6469751
0.125,0.125,0.6467997
0.15,0.125,0.6464799
0.15,0.25,0.6438806
0.175,0.25,0.6437738
0.175,0.275,0.64264804
0.325,0.275,0.6368504
0.325,0.575,0.60465163
0.4,0.575,0.60266966
0.4,0.6,0.60128653
0.425,0.6,0.60120195
0.425,0.75,0.5945467
0.45,0.75,0.59391093
0.45,0.775,0.59347415
0.475,0.775,0.58557284
0.475,0.8,0.58283687
0.5,0.8,0.5827687
0.5,0.825,0.5827049
0.625,0.825,0.58243746
0.625,0.85,0.5824054
0.75,0.85,0.5810497
0.75,0.975,0.56652707
0.875,0.975,0.28115997
0.875,1.0,0.028863527
1.0,1.0,0.003944672
