fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.68051225
0.025,0.025,0.6796077
0.075,0.025,0.6611423
0.075,0.05,0.65680766
0.1,0.05,0.65138113
0.1,0.1,0.64241236
0.125,0.1,0.6312616
0.125,0.15,0.58788973
0.25,0.15,0.53484756
0.25,0.2,0.534412
0.325,0.2,0.5341557
0.325,0.225,0.5326897
0.425,0.225,0.5300748
0.425,0.25,0.52980393
0.475,0.25,0.52670306
0.475,0.375,0.5140549
0.525,0.375,0.5084371
0.525,0.4,0.5069645
0.55,0.4,0.49604407
0.55,0.425,0.49588725
0.625,0.425,0.49505436
0.625,0.475,0.49453735
0.65,0.475,0.4941868
0.65,0.525,0.4933851
0.675,0.525,0.49312162
0.675,0.55,0.49266696
0.7,0.55,0.49229383
0.7,0.6,0.49211058
0.725,0.6,0.48863336
0.725,0.625,0.4884424
0.75,0.625,0.4883471
0.75,0.725,0.47296417
0.8,0.725,0.46873593
0.8,0.75,0.46845174
0.825,0.75,0.46730828
0.825,0.775,0.4640995
0.85,0.775,0.4616368
0.85,0.8,0.4551526
0.875,0.8,0.45069692
0.875,0.825,0.44896537
0.9,0.825,0.44115168
0.9,0.95,0.4006123
0.95,0.95,0.3866081
0.95,0.975,0.3633816
0.975,0.975,0.36179918
0.975,1.0,0.35594162
1.0,1.0,0.12290794
