fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.63037723
0.05,0.0,0.62700737
0.05,0.075,0.62032163
0.075,0.075,0.61100173
0.075,0.15,0.59797657
0.1,0.15,0.5944824
0.1,0.2,0.5902937
0.25,0.2,0.56043184
0.25,0.225,0.556168
0.275,0.225,0.55101
0.275,0.25,0.5468016
0.325,0.25,0.54310435
0.325,0.275,0.5383332
0.35,0.275,0.53287655
0.35,0.35,0.5178841
0.4,0.35,0.51576436
0.4,0.4,0.5005541
0.425,0.4,0.49691075
0.425,0.45,0.4932413
0.45,0.45,0.49129012
0.45,0.5,0.489044
0.475,0.5,0.48754507
0.475,0.525,0.48739737
0.5,0.525,0.4857026
0.5,0.575,0.48502594
0.6,0.575,0.4844779
0.6,0.6,0.4844395
0.65,0.6,0.4842716
0.65,0.65,0.47876608
0.675,0.65,0.47389936
0.675,0.675,0.4598469
0.725,0.675,0.45699704
0.725,0.7,0.4506806
0.75,0.7,0.4308242
0.75,0.75,0.42820033
0.775,0.75,0.42797357
0.775,0.975,0.4248742
0.85,0.975,0.4175421
0.85,1.0,0.41123542
1.0,1.0,0.3514412
