source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,auc,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_count_scope,gap_acc
reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s44/target_attack_data.pt,ok,,ARCH_eff_control_mlp_qnn_s44,0.8999999761581421,0.3153804540634155,0.800000011920929,0.5454922318458557,0.7900000214576721,0.6563231945037842,0.1099999547004699,0=member,200,200,0.005,ARCH_eff_control_mlp_qnn_s44,architecture_control,mnist,mlp_qnn,mlp_qnn,1622,44,43,44,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,96,0,96,0,46,36,10,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,44,MNIST,mlp_qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_control|mlp_qnn,0.01,0.56405,0.5425,0.085,0.67,0.585,96,0,96,0,0,0,classical parameter-matched MLP; no quantum main stack,0.1099999547004699
reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s45/target_attack_data.pt,ok,,ARCH_eff_control_mlp_qnn_s45,0.9049999713897704,0.2818503677845001,0.8100000023841858,0.5896437168121338,0.7850000262260437,0.6670560240745544,0.1199999451637268,0=member,200,200,0.005,ARCH_eff_control_mlp_qnn_s45,architecture_control,mnist,mlp_qnn,mlp_qnn,1622,45,43,45,0=member,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,96,0,96,0,46,36,10,fixed encoder plus downstream variational circuit,,architecture_control,eff_control,45,MNIST,mlp_qnn,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_control|mlp_qnn,0.01,0.573075,0.56,0.12,0.795,0.675,96,0,96,0,0,0,classical parameter-matched MLP; no quantum main stack,0.1199999451637268
reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s43/target_attack_data.pt,ok,,ARCH_high_reupload_HQNN_s43,1.0,0.0372756943106651,0.9300000071525574,0.2071439772844314,0.9200000166893004,0.1937374919652938,0.0799999833106994,0=member,200,200,0.005,ARCH_high_reupload_HQNN_s43,architecture_control,mnist,hqnn,hqnn,1070,43,43,43,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,20022,138,19884,0,543,363,180,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,43,MNIST,hqnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,43,43,high_reupload|hqnn,0.01,0.5674,0.55,0.0999999999999999,0.75,0.65,20022,138,19884,543,363,180,fixed encoder plus downstream variational circuit,0.0799999833106994
reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_attack_data.pt,ok,,ARCH_high_reupload_HQNN_s44,0.7099999785423279,0.7137678265571594,0.6000000238418579,0.7963219285011292,0.6050000190734863,0.7934771180152893,0.1049999594688415,0=member,200,200,0.005,ARCH_high_reupload_HQNN_s44,architecture_control,mnist,hqnn,hqnn,1070,44,43,44,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,20022,138,19884,0,543,363,180,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,44,MNIST,hqnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,44,43,high_reupload|hqnn,0.01,0.54375,0.54,0.0799999999999999,0.745,0.665,20022,138,19884,543,363,180,fixed encoder plus downstream variational circuit,0.1049999594688415
reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_attack_data.pt,ok,,ARCH_high_reupload_HQNN_s45,1.0,0.0309655591845512,0.9399999976158142,0.2128561586141586,0.9399999976158142,0.1708292067050933,0.0600000023841857,0=member,200,200,0.005,ARCH_high_reupload_HQNN_s45,architecture_control,mnist,hqnn,hqnn,1070,45,43,45,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,20022,138,19884,0,543,363,180,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,45,MNIST,hqnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,45,43,high_reupload|hqnn,0.01,0.579275,0.5675,0.135,0.825,0.69,20022,138,19884,543,363,180,fixed encoder plus downstream variational circuit,0.0600000023841857
reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s43/target_attack_data.pt,ok,,ARCH_high_reupload_QCNN_s43,0.9649999737739564,0.1517044603824615,0.8199999928474426,0.4375292658805847,0.7850000262260437,0.4536264836788177,0.1799999475479126,0=member,200,200,0.005,ARCH_high_reupload_QCNN_s43,architecture_control,mnist,qcnn,qcnn,1070,43,43,43,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,684,486,198,0,547,367,180,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,43,MNIST,qcnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.93,0.83,0.1,200,200,200,16,100,False,43,43,high_reupload|qcnn,0.01,0.5925499999999999,0.6175,0.2350000000000001,0.805,0.57,684,486,198,547,367,180,fixed encoder plus downstream variational circuit,0.1799999475479126
reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s44/target_attack_data.pt,ok,,ARCH_high_reupload_QCNN_s44,0.959999978542328,0.165007546544075,0.8149999976158142,0.5115305185317993,0.800000011920929,0.5231050252914429,0.1599999666213989,0=member,200,200,0.005,ARCH_high_reupload_QCNN_s44,architecture_control,mnist,qcnn,qcnn,1070,44,43,44,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,684,486,198,0,547,367,180,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,44,MNIST,qcnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.93,0.83,0.1,200,200,200,16,100,False,44,43,high_reupload|qcnn,0.01,0.6009,0.63,0.26,0.92,0.66,684,486,198,547,367,180,fixed encoder plus downstream variational circuit,0.1599999666213989
reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s45/target_attack_data.pt,ok,,ARCH_high_reupload_QCNN_s45,0.9549999833106996,0.1897358447313308,0.8450000286102295,0.4233869314193725,0.7900000214576721,0.4934000074863434,0.1649999618530273,0=member,200,200,0.005,ARCH_high_reupload_QCNN_s45,architecture_control,mnist,qcnn,qcnn,1070,45,43,45,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,684,486,198,0,547,367,180,fixed encoder plus downstream variational circuit,False,architecture_control,high_reupload,45,MNIST,qcnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.93,0.83,0.1,200,200,200,16,100,False,45,43,high_reupload|qcnn,0.01,0.5926499999999999,0.5975,0.195,0.905,0.71,684,486,198,547,367,180,fixed encoder plus downstream variational circuit,0.1649999618530273
reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_attack_data.pt,ok,,ARCH_high_reupload_QNN_s43,0.800000011920929,0.6245120167732239,0.5400000214576721,1.0276368856430054,0.5550000071525574,1.024603009223938,0.2450000047683715,0=member,200,200,0.005,ARCH_high_reupload_QNN_s43,architecture_control,mnist,qnn,qnn,1070,43,43,43,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,166,138,28,0,543,363,180,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,43,MNIST,qnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,43,43,high_reupload|qnn,0.01,0.625875,0.585,0.1699999999999999,0.83,0.66,166,138,28,543,363,180,fixed encoder plus downstream variational circuit,0.2450000047683715
reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_attack_data.pt,ok,,ARCH_high_reupload_QNN_s44,0.7649999856948853,0.7119579911231995,0.5199999809265137,0.9955066442489624,0.5350000262260437,0.9955989122390748,0.2299999594688415,0=member,200,200,0.005,ARCH_high_reupload_QNN_s44,architecture_control,mnist,qnn,qnn,1070,44,43,44,0=member,pv+stats,0.01,6,6,linear,crz,zz,5,linear,none,wrap,200,200,200,166,138,28,0,543,363,180,fixed encoder plus downstream variational circuit,,architecture_control,high_reupload,44,MNIST,qnn,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,44,43,high_reupload|qnn,0.01,0.618275,0.595,0.19,0.615,0.425,166,138,28,543,363,180,fixed encoder plus downstream variational circuit,0.2299999594688415
