role,architecture,train_acc_count,train_acc_mean,train_acc_std,valid_acc_count,valid_acc_mean,valid_acc_std,test_acc_count,test_acc_mean,test_acc_std,train_loss_count,train_loss_mean,train_loss_std,valid_loss_count,valid_loss_mean,valid_loss_std,test_loss_count,test_loss_mean,test_loss_std,gap_acc_count,gap_acc_mean,gap_acc_std,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,trainable_parameters_total_count,trainable_parameters_total_mean,trainable_parameters_total_std,trainable_parameters_quantum_count,trainable_parameters_quantum_mean,trainable_parameters_quantum_std,trainable_parameters_classical_count,trainable_parameters_classical_mean,trainable_parameters_classical_std,quantum_gate_count_total_count,quantum_gate_count_total_mean,quantum_gate_count_total_std,error_bar_type
eff_control,hqnn,3,1.0,0.0,3,0.975000023841858,0.0,3,0.9683333436648053,0.0076376513914597245,3,0.006922271413107667,0.0018898862816694943,3,0.09397036830584206,0.019714947401137033,3,0.08008752514918639,0.013558736837645573,3,0.031666656335194866,0.007637651391459741,3,0.5482333333333334,0.009704423390049167,3,0.5558333333333333,0.018085445345175526,3,0.11166666666666664,0.03617089069035124,3,19930.0,0.0,3,46.0,0.0,3,19884.0,0.0,3,63.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
eff_control,mlp_qnn,3,0.903333306312561,0.002886748592927448,3,0.8100000023841858,0.009999990463256836,3,0.7833333412806193,0.007637651391459716,3,0.2854402959346771,0.028316384592849856,3,0.5710688432057699,0.022893375785562668,3,0.6727945407231649,0.019968898670433197,3,0.1199999650319417,0.010000020265594043,3,0.5671458333333333,0.005136486112444319,3,0.5516666666666666,0.008779711460710663,3,0.10333333333333329,0.017559422921421226,3,96.0,0.0,3,0.0,0.0,3,96.0,0.0,3,0.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
eff_control,qcnn,3,0.8333333532015482,0.020207274563250277,3,0.8083333174387614,0.03253203500466028,3,0.8316666682561239,0.03329164315860657,3,0.4023313721021016,0.030031628049787193,3,0.4797643224398295,0.04052491792960003,3,0.4645287096500397,0.03643718179598141,3,0.0016666849454244,0.02753785713750825,3,0.5138916666666667,0.0038251089309107905,3,0.5041666666666667,0.02362907813126304,3,0.008333333333333302,0.047258156262526045,3,592.0,0.0,3,394.0,0.0,3,198.0,0.0,3,67.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
eff_control,qnn,3,0.6899999976158142,0.013228743939397589,3,0.7050000031789144,0.01322877773205642,3,0.6666666666666666,0.012583073023894198,3,0.7883151372273763,0.006328806111355608,3,0.7501179774602255,0.005838814686711738,3,0.8262017170588175,0.02477800824745535,3,0.0233333309491475,0.01755940900419532,3,0.530425,0.02899460079049201,3,0.5241666666666666,0.05669729564391354,3,0.04833333333333334,0.11339459128782695,3,74.0,0.0,3,46.0,0.0,3,28.0,0.0,3,63.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
high_reupload,hqnn,3,0.903333326180776,0.16743159045358424,3,0.8233333428700765,0.1934769456380691,3,0.8216666777928671,0.18790511052052483,3,0.26066969335079193,0.3924071777983283,3,0.40544068813323975,0.3385251324607092,3,0.3860146055618921,0.353058736861895,3,0.08166664838790887,0.02254622726233611,3,0.563475,0.018084817527417876,3,0.5525000000000001,0.013919410907075052,3,0.10499999999999994,0.027838821814150167,3,20022.0,0.0,3,138.0,0.0,3,19884.0,0.0,3,543.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
high_reupload,mlp_qnn,3,0.9516666730244955,0.03403429753693485,3,0.8349999785423279,0.008660245778782537,3,0.800000011920929,0.008660245778782537,3,0.1496872703234354,0.06997206424059552,3,0.5301439662774404,0.06240859229861276,3,0.5959531863530477,0.06801453089919382,3,0.15166666110356644,0.040414512255690795,3,0.59165,0.010914525871516352,3,0.5775,0.015612494995996005,3,0.15499999999999994,0.031224989991991973,3,188.0,0.0,3,0.0,0.0,3,188.0,0.0,3,0.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
high_reupload,qcnn,3,0.959999978542328,0.004999995231628418,3,0.8266666730244955,0.016072769934077965,3,0.7916666865348816,0.007637618874451828,3,0.16881595055262244,0.019299598562977804,3,0.4574822386105855,0.04733829134891341,3,0.490043838818868,0.034860648835724914,3,0.16833329200744626,0.010408320071173696,3,0.5953666666666666,0.004792268078199905,3,0.6150000000000001,0.016393596310754974,3,0.23000000000000007,0.03278719262151001,3,684.0,0.0,3,486.0,0.0,3,198.0,0.0,3,547.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
high_reupload,qnn,3,0.7916666666666666,0.023629089230319145,3,0.5316666762034098,0.010408353476512996,3,0.5383333365122477,0.01527526376251992,3,0.642726997534434,0.06215846508014909,3,1.039199431737264,0.050477242595053436,3,1.0275429884592693,0.03351092962370605,3,0.2533333301544189,0.028431234053703708,3,0.6332833333333333,0.019781815091981136,3,0.595,0.010000000000000009,3,0.18999999999999995,0.02000000000000006,3,166.0,0.0,3,138.0,0.0,3,28.0,0.0,3,543.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
low_reupload,hqnn,3,0.7600000003973643,0.4156921931282754,3,0.7166666587193807,0.4001978642469371,3,0.7416666646798452,0.3480780511373023,3,0.46747638781865436,0.7886617978191897,3,0.5776727000872294,0.7009247691534837,3,0.593116338054339,0.6833589374124311,3,0.018333335717519134,0.06898067552288771,3,0.54215,0.020877604627926084,3,0.5583333333333333,0.04536885862938737,3,0.11666666666666664,0.09073771725877472,3,19930.0,0.0,3,46.0,0.0,3,19884.0,0.0,3,82.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
low_reupload,mlp_qnn,3,0.903333306312561,0.002886748592927448,3,0.8100000023841858,0.009999990463256836,3,0.7833333412806193,0.007637651391459716,3,0.2854402959346771,0.028316384592849856,3,0.5710688432057699,0.022893375785562668,3,0.6727945407231649,0.019968898670433197,3,0.1199999650319417,0.010000020265594043,3,0.5671458333333333,0.005136486112444319,3,0.5516666666666666,0.008779711460710663,3,0.10333333333333329,0.017559422921421226,3,96.0,0.0,3,0.0,0.0,3,96.0,0.0,3,0.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
low_reupload,qcnn,3,0.9283333420753479,0.0028867485929275124,3,0.8650000095367432,0.009999990463256836,3,0.8766666650772095,0.007637618874451828,3,0.22208491464455915,0.025967503284716625,3,0.3343287209669749,0.03608678526949063,3,0.3316813309987386,0.017799418185582904,3,0.05166667699813837,0.007637618874451803,3,0.527525,0.013733080499290746,3,0.5175000000000001,0.007499999999999993,3,0.035,0.015000000000000001,3,592.0,0.0,3,394.0,0.0,3,198.0,0.0,3,86.0,0.0,mean ± sample SD across independent target-model seeds; fixed data seed
