metric,architecture,baseline,contrast,mean_difference,sd_paired_differences,ci95_low,ci95_high,n_structural_roles,n_paired_role_seed_units,valid_bootstrap_replicates,ci_method,bootstrap_unit,bootstrap_replicates
gap_acc,hqnn,qnn,hqnn minus qnn,-0.07111112276713054,0.09600709598618716,-0.1672222349378798,0.009444455305735256,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_acc,hqnn,qnn,hqnn minus qnn,0.20055555966165337,0.23675467623184102,-0.02111111084620153,0.3333333399560718,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_loss,hqnn,qnn,hqnn minus qnn,-0.4806671929028299,0.49876193851578715,-0.7887768256995414,-0.029893825120396463,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
auc,hqnn,qnn,hqnn minus qnn,-0.01352222222222222,0.050692528179155205,-0.06802499999999996,0.0303138888888889,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
balanced_accuracy_crossfit,hqnn,qnn,hqnn minus qnn,0.013055555555555598,0.057564878856623834,-0.04055555555555551,0.06222222222222227,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
membership_advantage_crossfit,hqnn,qnn,hqnn minus qnn,0.026111111111111085,0.11512975771324767,-0.08444444444444447,0.12447222222222178,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
gap_acc,mlp_qnn,qnn,mlp_qnn minus qnn,0.015555527475145135,0.09837568893660656,-0.08722221304972967,0.09555553727679782,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_acc,mlp_qnn,qnn,mlp_qnn minus qnn,0.1455555624432034,0.09275116707645543,0.062208320531580194,0.2588888936572605,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_loss,mlp_qnn,qnn,mlp_qnn minus qnn,-0.18655925989151,0.20679044556691703,-0.4202891257074144,0.01742481523089939,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
auc,mlp_qnn,qnn,mlp_qnn minus qnn,0.010505555555555539,0.04385125965226401,-0.03836666666666669,0.04487777777777779,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
balanced_accuracy_crossfit,mlp_qnn,qnn,mlp_qnn minus qnn,0.01777777777777783,0.037861681743478384,-0.01722916666666662,0.047777777777777815,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
membership_advantage_crossfit,mlp_qnn,qnn,mlp_qnn minus qnn,0.035555555555555535,0.07572336348695675,-0.03388888888888894,0.09777777777777773,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
gap_acc,qcnn,qnn,qcnn minus qnn,-0.041111118263668464,0.04166668365400274,-0.08280558271540536,-0.007222221957312723,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_acc,qcnn,qnn,qcnn minus qnn,0.1900000042385525,0.05178079755467394,0.14833333094914755,0.24944446484247842,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
test_loss,qcnn,qnn,qcnn minus qnn,-0.40498872266875374,0.11201307599505927,-0.527452950593498,-0.31060213843981427,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
auc,qcnn,qnn,qcnn minus qnn,-0.01921388888888888,0.025148804367426943,-0.04023395833333332,-0.0005805555555555348,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
balanced_accuracy_crossfit,qcnn,qnn,qcnn minus qnn,0.003055555555555595,0.03896668805246063,-0.030833333333333324,0.025840277777777733,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
membership_advantage_crossfit,qcnn,qnn,qcnn minus qnn,0.0061111111111111244,0.07793337610492124,-0.0572222222222222,0.05333333333333331,3,9,5000,paired hierarchical percentile bootstrap over structural roles with target-model seeds nested,structural role; target-model seed nested,5000
