fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6178277
0.025,0.025,0.6174991
0.05,0.025,0.615205
0.05,0.1,0.604137
0.1,0.1,0.6011422
0.1,0.125,0.6010981
0.125,0.125,0.5965205
0.125,0.15,0.59397537
0.15,0.15,0.5936063
0.15,0.175,0.5880846
0.2,0.175,0.5837649
0.2,0.225,0.58019143
0.225,0.225,0.58007085
0.225,0.35,0.5785863
0.25,0.35,0.57511574
0.25,0.375,0.57470334
0.275,0.375,0.5745836
0.275,0.4,0.5737912
0.325,0.4,0.5730929
0.325,0.45,0.5707305
0.4,0.45,0.56943905
0.4,0.475,0.56926125
0.55,0.475,0.55713344
0.55,0.5,0.55712885
0.575,0.5,0.54936403
0.575,0.525,0.5483434
0.625,0.525,0.545091
0.625,0.55,0.5080195
0.675,0.55,0.4857839
0.675,0.625,0.481207
0.775,0.625,0.480334
0.775,0.7,0.4784063
0.8,0.7,0.47823095
0.8,0.8,0.46832892
0.825,0.8,0.46602628
0.825,0.925,0.44390205
0.85,0.925,0.44313192
0.85,0.95,0.4316708
0.875,0.95,0.40224153
0.875,0.975,0.37037262
1.0,0.975,0.2882757
1.0,1.0,0.28677815
