fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.7400782
0.025,0.025,0.73565507
0.05,0.025,0.73289573
0.05,0.075,0.7025266
0.075,0.075,0.69747186
0.075,0.125,0.6917174
0.125,0.125,0.68449867
0.125,0.225,0.6519931
0.175,0.225,0.65140665
0.175,0.25,0.6481752
0.2,0.25,0.6466221
0.2,0.275,0.640819
0.225,0.275,0.63979125
0.225,0.3,0.6323013
0.275,0.3,0.6277216
0.275,0.325,0.62558496
0.3,0.325,0.6198039
0.3,0.4,0.5983506
0.35,0.4,0.5958058
0.35,0.65,0.5670779
0.375,0.65,0.5633341
0.375,0.675,0.5546754
0.425,0.675,0.5409705
0.425,0.725,0.5384249
0.45,0.725,0.53701806
0.45,0.775,0.5292932
0.475,0.775,0.5276532
0.475,0.8,0.51939046
0.5,0.8,0.51834863
0.5,0.9,0.49567106
0.55,0.9,0.49136576
0.55,0.925,0.47613904
0.625,0.925,0.46678194
0.625,0.95,0.4608468
0.8,0.95,0.33789998
0.8,0.975,0.3375622
0.925,0.975,0.21081622
0.925,1.0,0.2046191
1.0,1.0,0.12144984
