fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.69535094
0.05,0.0,0.6926186
0.05,0.05,0.69138116
0.1,0.05,0.67985463
0.1,0.1,0.6541015
0.125,0.1,0.6525838
0.125,0.225,0.6136594
0.175,0.225,0.60608387
0.175,0.35,0.598855
0.275,0.35,0.5632985
0.275,0.375,0.5514774
0.35,0.375,0.5433254
0.35,0.4,0.5350507
0.4,0.4,0.53473955
0.4,0.5,0.5327155
0.425,0.5,0.532262
0.425,0.525,0.5321668
0.525,0.525,0.53006226
0.525,0.55,0.5293405
0.575,0.55,0.5276351
0.575,0.6,0.52700055
0.6,0.6,0.5202917
0.6,0.675,0.51032704
0.625,0.675,0.50729406
0.625,0.7,0.5066203
0.65,0.7,0.5062115
0.65,0.8,0.48324966
0.675,0.8,0.48162666
0.675,0.825,0.47268957
0.7,0.825,0.44533095
0.7,0.85,0.4440731
0.825,0.85,0.43053842
0.825,0.875,0.41732767
0.85,0.875,0.3877341
0.85,0.9,0.3857014
0.9,0.9,0.35300916
0.9,0.925,0.34586412
0.925,0.925,0.34476107
0.925,0.975,0.308281
0.975,0.975,0.2857369
0.975,1.0,0.25540486
1.0,1.0,0.14855997
