target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_epochs,reference_candidate_protocol,score_statistic,ci_method,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,lira_online,0.543225,0.48622375,0.5971812499999999,5000,0.115,0.04,0.15,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/sample_scores/MNIST_QNN_zz_r5_d2_s45.npz,0.5025,0.004999999999999893,0.565,0.56,-0.5124101744519052,5
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,lira_online_fixed_variance,0.554075,0.498515,0.61022625,5000,0.125,0.05,0.17,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/sample_scores/MNIST_QNN_zz_r5_d2_s45.npz,0.5175,0.03499999999999992,0.705,0.67,-0.5172825060001203,5
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,lira_offline,0.5367500000000001,0.480849375,0.5933268749999999,5000,0.055,0.05,0.14,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/sample_scores/MNIST_QNN_zz_r5_d2_s45.npz,0.495,-0.009999999999999953,0.335,0.345,2.62001736273647,5
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,lira_offline_fixed_variance,0.5256,0.46974375,0.5801012499999999,5000,0.065,0.05,0.165,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/sample_scores/MNIST_QNN_zz_r5_d2_s45.npz,0.505,0.009999999999999953,0.35,0.34,1.5698213193543953,5
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,MNIST,QNN,zz_r5_d2,45,45,43,zz_r5_d2,zz,5,2,global_true_class_log_odds,0.6299250000000001,0.57602125,0.6816775,5000,0.095,0.045,0.245,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/lira_reference_mia/sample_scores/MNIST_QNN_zz_r5_d2_s45.npz,0.59,0.18,0.47,0.29,0.6002815609472604,5
