target_id,experiment,dataset,architecture,role,seed,model_seed,data_seed,structural_cell_id,fm_kind,reps,depth,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,tpr_at_0_05_fpr,attained_fpr_for_0_05,tpr_at_0_10_fpr,attained_fpr_for_0_10,n_member,n_nonmember,num_reference_models,reference_epochs,reference_candidate_protocol,score_statistic,ci_method,sample_score_file,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_online,0.54245,0.49078875,0.59544125,200,0.025,0.03,0.15,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.npz,0.5175,0.0349999999999999,0.41,0.375,0.5594185340262554,5
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_online_fixed_variance,0.556925,0.5064887499999999,0.61687625,200,0.045,0.05,0.105,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.npz,0.5225,0.045,0.545,0.5,0.1158358247606895,5
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_offline,0.5474249999999999,0.492664375,0.599979375,200,0.035,0.035,0.11,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.npz,0.5425,0.0849999999999999,0.61,0.525,0.7314472265266359,5
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_offline_fixed_variance,0.545,0.481325,0.59147,200,0.055,0.05,0.085,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.npz,0.515,0.03,0.595,0.565,0.5321539165423692,5
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,43,43,43,eff_su2_r1_d2_wd0,eff_su2,1,2,global_true_class_log_odds,0.539175,0.48588875,0.5877587500000001,200,0.06,0.045,0.11,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s43.npz,0.5449999999999999,0.09,0.38,0.29,1.0400144744980224,5
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_online,0.47575,0.420835625,0.5310637500000001,200,0.055,0.03,0.095,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.npz,0.4875,-0.025,0.355,0.38,0.1657322917809733,5
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_online_fixed_variance,0.4913,0.433055,0.5398175,200,0.055,0.035,0.085,0.09,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.npz,0.4975,-0.005,0.49,0.495,0.1280345057578432,5
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_offline,0.451075,0.395718125,0.513036875,200,0.08,0.05,0.125,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.npz,0.5,0.0,0.245,0.245,5.504481608937937,5
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2_wd0,eff_su2,1,2,lira_offline_fixed_variance,0.452475,0.40589125,0.50357125,200,0.07,0.05,0.145,0.1,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.npz,0.5175000000000001,0.035,0.14,0.105,2.7483516968042503,5
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,MNIST,QNN,eff_su2_r1_d2,44,44,43,eff_su2_r1_d2_wd0,eff_su2,1,2,global_true_class_log_odds,0.531825,0.476070625,0.58715375,200,0.085,0.05,0.105,0.095,200,200,16,[100],400 target-candidate records; each candidate IN in exactly half of references; each reference trains on 200 records,true-class log-odds,stratified percentile bootstrap over member/non-member records,/home/najeeb/chanLira/channel_lira_results/noisy_reference_scaleup_phase6/references/sample_scores/MNIST_QNN_eff_su2_r1_d2_s44.npz,0.475,-0.05,0.59,0.64,0.7453984137325728,5
