fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.83778423
0.025,0.025,0.8370103
0.025,0.125,0.7762051
0.075,0.125,0.77385825
0.075,0.15,0.73141575
0.1,0.15,0.7274756
0.1,0.3,0.679472
0.175,0.3,0.65338075
0.175,0.35,0.6390378
0.325,0.35,0.61087173
0.325,0.375,0.61070925
0.375,0.375,0.60638756
0.375,0.45,0.5939453
0.4,0.45,0.58172596
0.4,0.525,0.5743258
0.45,0.525,0.5725981
0.45,0.55,0.571294
0.475,0.55,0.5646921
0.475,0.625,0.5545421
0.5,0.625,0.5529445
0.5,0.65,0.54548335
0.6,0.65,0.49936113
0.6,0.725,0.48737434
0.675,0.725,0.46884012
0.675,0.75,0.4509802
0.7,0.75,0.44883475
0.7,0.825,0.42510176
0.8,0.825,0.355028
0.8,0.875,0.3182862
0.825,0.875,0.30096656
0.825,0.925,0.26226518
0.85,0.925,0.2613358
0.85,0.975,0.24416655
1.0,0.975,0.13119726
1.0,1.0,0.12979682
