target_id,dataset,architecture,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,seed,model_seed,data_seed,structural_cell_id,learning_rate,base_target_id,n_train,n_test,encoder_operation_count,encoder_operation_signature,state_signature,train_train_similarity,train_test_similarity,test_test_similarity,within_class_similarity,between_class_similarity,class_similarity_gap,mmd2_train_test,kernel_label_alignment,effective_rank,geometry_kernel,geometry_stage
GEOM_MNIST_eff_su2_r1_ds43,MNIST,QNN,eff_su2,6,1,wrap,linear,cx,2,linear,crz,43,43,43,GEOM_MNIST_eff_su2_r1,0.05,GEOM_MNIST_eff_su2_r1,20,20,17,7495518aeebe50f87bb06eb7048f082601e331027c0a3658146843ff3f9dbc3a,0f0f4de4605107107e9b447392ca966e1b76d40c0d676b24861914f304994760,0.1456655710935592,0.0987503081560134,0.0913644954562187,0.2431429475545883,0.0679501816630363,0.1751927658915519,0.039529450237751,0.5164906978607178,22.65170669555664,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_MNIST_eff_su2_r5_ds43,MNIST,QNN,eff_su2,6,5,wrap,linear,cx,2,linear,crz,43,43,43,GEOM_MNIST_eff_su2_r5,0.05,GEOM_MNIST_eff_su2_r5,20,20,85,82b1a0fe172ead03a80509c62041489e01978fb813146187aaefe36a3fc814df,fc43e6bc089124be966aed1ec1588c82b451767f5a4a4d270f23036514f69376,0.0350004844367504,0.0260208155959844,0.0183377675712108,0.0581330247223377,0.0167977456003427,0.0413352791219949,0.0012966208159923,0.3562236726284027,36.28739547729492,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_MNIST_z_r1_ds43,MNIST,QNN,z,6,1,wrap,linear,,2,linear,crz,43,43,43,GEOM_MNIST_z_r1,0.05,GEOM_MNIST_z_r1,20,20,36,27a3e4284f1e01a778fabf19aabf80b06b08197f1f6dea80cd65987039ce271d,9565ceb74928d3afad52d485b22a2c96be163628a1b2f81087c0b6082ef39139,0.3026582300662994,0.2472505122423172,0.2143964618444442,0.4343159198760986,0.1982728838920593,0.2360430359840393,0.0225536674261093,0.5559280514717102,13.269105911254885,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_MNIST_z_r5_ds43,MNIST,QNN,z,6,5,wrap,linear,,2,linear,crz,43,43,43,GEOM_MNIST_z_r5,0.05,GEOM_MNIST_z_r5,20,20,180,5f7f19d33b1ef9998a4bd52f71516208fa21bccc727a82e4d10e5076d721a7ab,7b5eefd3d87ad622550869b97394ef3a1ac72d8161ffe91717d169d42bee5c57,0.3126200735569,0.2834365367889404,0.2407925426959991,0.312909871339798,0.2703320682048797,0.0425778031349182,-0.0134604573249816,0.2854625880718231,15.897644996643066,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_MNIST_zz_r1_ds43,MNIST,QNN,zz,6,1,wrap,linear,,2,linear,crz,43,43,43,GEOM_MNIST_zz_r1,0.05,GEOM_MNIST_zz_r1,20,20,81,419f3d71ccf919e9c85aac01d20e1d4474515899b26ad2dfc9890dead03feef6,61331464f59954882c74ffd070c381c1e6f6f41e574cdd58a2bbc68d57f15dc7,0.2919066250324249,0.2317129075527191,0.1767837256193161,0.3881473541259765,0.1864496916532516,0.2016976624727249,0.0052645355463027,0.5133374333381653,14.59986686706543,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_MNIST_zz_r5_ds43,MNIST,QNN,zz,6,5,wrap,linear,,2,linear,crz,43,43,43,GEOM_MNIST_zz_r5,0.05,GEOM_MNIST_zz_r5,20,20,405,fcb2d499466c23c752e61d8de3f11c34ab7240640ade1de0e34037a30379ca0d,d5624926bd817071783798f48995f3f7a9792a629d1fb111d585804bf13439cf,0.0476494133472442,0.0409623757004737,0.0390477627515792,0.0717570632696151,0.0332352332770824,0.0385218299925327,0.0047724246978759,0.3447277247905731,35.085079193115234,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_Moons_eff_su2_r1_ds43,Moons,QNN,eff_su2,4,1,wrap,linear,cx,2,linear,crz,43,43,43,GEOM_Moons_eff_su2_r1,0.05,GEOM_Moons_eff_su2_r1,20,20,11,b31bcb133a58c8317441c663888fb2d643a58bbaf904349c6f702e8353137911,49afb72ce3a822603ea95cd032d88ff28594fe6ad0c0f5ec495c3112a9feae7d,0.160975843667984,0.1610810905694961,0.1368079483509063,0.1796159893274307,0.1318932175636291,0.0477227717638015,-0.0243783891201019,0.1919893026351928,16.37932014465332,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_Moons_eff_su2_r5_ds43,Moons,QNN,eff_su2,4,5,wrap,linear,cx,2,linear,crz,43,43,43,GEOM_Moons_eff_su2_r5,0.05,GEOM_Moons_eff_su2_r5,20,20,55,4db0925a7848bd0e61d0ff8a40eb1099b8de2016259d7a9bb3bbb62e78ab6498,7d268c6a42d40721f07164227152319ddbce534531f906de9bf6c2dcdcc29488,0.0723847225308418,0.0689207762479782,0.0763203054666519,0.0858559161424636,0.0579925402998924,0.0278633758425712,0.0108634755015373,0.2092115581035614,30.611032485961918,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_Moons_z_r1_ds43,Moons,QNN,z,4,1,wrap,linear,,2,linear,crz,43,43,43,GEOM_Moons_z_r1,0.05,GEOM_Moons_z_r1,20,20,8,0cfdacc809d8979c93e8d7d96cf8f0231654b670f6dd626202a3bf656f899612,f7fa18f1aed56b79f592bb8d1e82de5e7c429491a6703637123d703b42b66d68,0.2058475315570831,0.2245614826679229,0.1835363507270813,0.283999502658844,0.1397193074226379,0.144280195236206,-0.0597390830516815,0.3259445428848266,9.720069885253906,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_Moons_z_r5_ds43,Moons,QNN,z,4,5,wrap,linear,,2,linear,crz,43,43,43,GEOM_Moons_z_r5,0.05,GEOM_Moons_z_r5,20,20,40,85a9e39e60f663aee14e02b256a1c5b8f113ffdea442fa3d195ced08a057660d,f1135efebf6e2497dc337833ad17005746f667d203f8ddcf43cbf38534b06615,0.2049663960933685,0.1939220577478408,0.1788822561502456,0.2075158804655075,0.179110050201416,0.0284058302640914,-0.0039954632520675,0.1586122810840606,16.385971069335938,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
GEOM_Moons_zz_r1_ds43,Moons,QNN,zz,4,1,wrap,linear,,2,linear,crz,43,43,43,GEOM_Moons_zz_r1,0.05,GEOM_Moons_zz_r1,20,20,17,9ca1b5563799fd1f56ca2e85c1eb3929e6ba8f3b507dbab9f7e8539b6e9d9553,7e92a13be6184cb5b80fe5a00a26096b27a690a806805ed63962256e811a3534,0.1985712200403213,0.2153740376234054,0.1842044442892074,0.2602614164352417,0.1499441117048263,0.1103173047304153,-0.0479724109172821,0.2980510592460632,11.9633150100708,pure-state Hilbert-Schmidt/fidelity kernel,immediately after fixed encoder; before variational circuit
