dataset,fm_kind,reps,train_train_similarity_count,train_train_similarity_mean,train_train_similarity_std,train_test_similarity_count,train_test_similarity_mean,train_test_similarity_std,test_test_similarity_count,test_test_similarity_mean,test_test_similarity_std,within_class_similarity_count,within_class_similarity_mean,within_class_similarity_std,between_class_similarity_count,between_class_similarity_mean,between_class_similarity_std,class_similarity_gap_count,class_similarity_gap_mean,class_similarity_gap_std,mmd2_train_test_count,mmd2_train_test_mean,mmd2_train_test_std,kernel_label_alignment_count,kernel_label_alignment_mean,kernel_label_alignment_std,effective_rank_count,effective_rank_mean,effective_rank_std,encoder_operation_count_count,encoder_operation_count_mean,encoder_operation_count_std,error_bar_type
MNIST,eff_su2,1,1,0.1456655710935592,,1,0.0987503081560134,,1,0.0913644954562187,,1,0.2431429475545883,,1,0.0679501816630363,,1,0.1751927658915519,,1,0.039529450237751,,1,0.5164906978607178,,1,22.65170669555664,,1,17.0,,mean ± sample SD across independent data seeds
MNIST,eff_su2,5,1,0.0350004844367504,,1,0.0260208155959844,,1,0.0183377675712108,,1,0.0581330247223377,,1,0.0167977456003427,,1,0.0413352791219949,,1,0.0012966208159923,,1,0.3562236726284027,,1,36.28739547729492,,1,85.0,,mean ± sample SD across independent data seeds
MNIST,z,1,1,0.3026582300662994,,1,0.2472505122423172,,1,0.2143964618444442,,1,0.4343159198760986,,1,0.1982728838920593,,1,0.2360430359840393,,1,0.0225536674261093,,1,0.5559280514717102,,1,13.269105911254885,,1,36.0,,mean ± sample SD across independent data seeds
MNIST,z,5,1,0.3126200735569,,1,0.2834365367889404,,1,0.2407925426959991,,1,0.312909871339798,,1,0.2703320682048797,,1,0.0425778031349182,,1,-0.0134604573249816,,1,0.2854625880718231,,1,15.897644996643066,,1,180.0,,mean ± sample SD across independent data seeds
MNIST,zz,1,1,0.2919066250324249,,1,0.2317129075527191,,1,0.1767837256193161,,1,0.3881473541259765,,1,0.1864496916532516,,1,0.2016976624727249,,1,0.0052645355463027,,1,0.5133374333381653,,1,14.59986686706543,,1,81.0,,mean ± sample SD across independent data seeds
MNIST,zz,5,1,0.0476494133472442,,1,0.0409623757004737,,1,0.0390477627515792,,1,0.0717570632696151,,1,0.0332352332770824,,1,0.0385218299925327,,1,0.0047724246978759,,1,0.3447277247905731,,1,35.085079193115234,,1,405.0,,mean ± sample SD across independent data seeds
Moons,eff_su2,1,1,0.160975843667984,,1,0.1610810905694961,,1,0.1368079483509063,,1,0.1796159893274307,,1,0.1318932175636291,,1,0.0477227717638015,,1,-0.0243783891201019,,1,0.1919893026351928,,1,16.37932014465332,,1,11.0,,mean ± sample SD across independent data seeds
Moons,eff_su2,5,1,0.0723847225308418,,1,0.0689207762479782,,1,0.0763203054666519,,1,0.0858559161424636,,1,0.0579925402998924,,1,0.0278633758425712,,1,0.0108634755015373,,1,0.2092115581035614,,1,30.611032485961918,,1,55.0,,mean ± sample SD across independent data seeds
Moons,z,1,1,0.2058475315570831,,1,0.2245614826679229,,1,0.1835363507270813,,1,0.283999502658844,,1,0.1397193074226379,,1,0.144280195236206,,1,-0.0597390830516815,,1,0.3259445428848266,,1,9.720069885253906,,1,8.0,,mean ± sample SD across independent data seeds
Moons,z,5,1,0.2049663960933685,,1,0.1939220577478408,,1,0.1788822561502456,,1,0.2075158804655075,,1,0.179110050201416,,1,0.0284058302640914,,1,-0.0039954632520675,,1,0.1586122810840606,,1,16.385971069335938,,1,40.0,,mean ± sample SD across independent data seeds
Moons,zz,1,1,0.1985712200403213,,1,0.2153740376234054,,1,0.1842044442892074,,1,0.2602614164352417,,1,0.1499441117048263,,1,0.1103173047304153,,1,-0.0479724109172821,,1,0.2980510592460632,,1,11.9633150100708,,1,17.0,,mean ± sample SD across independent data seeds
Moons,zz,5,1,0.169452890753746,,1,0.1434122622013092,,1,0.1178173869848251,,1,0.1588694751262664,,1,0.1289396286010742,,1,0.0299298465251922,,1,0.0004457533359527,,1,0.1805585324764251,,1,20.800071716308597,,1,85.0,,mean ± sample SD across independent data seeds
