experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
architecture_control,MNIST,hqnn,high_reupload|hqnn,high_reupload,high,zz,5,2,loss,3,0.7822222222222223,0.03821640782648863,3,0.7111111111111111,0.03849001794597514,3,0.4222222222222222,0.0769800358919501,3,0.7111111111111111,0.16442942874387495,3,0.2888888888888889,0.1347150628109127,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,hqnn,low_reupload|hqnn,low_reupload,low,z,1,2,loss,3,0.6455555555555555,0.07762683766537143,3,0.6055555555555555,0.06309898162000305,3,0.21111111111111114,0.12619796324000612,3,0.4777777777777778,0.05091750772173154,3,0.26666666666666666,0.17320508075688776,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,mlp_qnn,high_reupload|mlp_qnn,high_reupload,high,zz,5,2,loss,3,0.6566666666666667,0.07050960883646716,3,0.5722222222222223,0.01924500897298757,3,0.14444444444444443,0.038490017945975064,3,0.39999999999999997,0.14529663145135577,3,0.25555555555555554,0.18358568490953675,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,mlp_qnn,low_reupload|mlp_qnn,low_reupload,low,z,1,2,loss,3,0.601111111111111,0.022553092366871603,3,0.5499999999999999,0.04409585518440992,3,0.09999999999999999,0.08819171036881969,3,0.48888888888888893,0.05091750772173154,3,0.3888888888888889,0.13877773329774218,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,qcnn,high_reupload|qcnn,high_reupload,high,zz,5,2,loss,3,0.8070370370370371,0.04309526245529238,3,0.6944444444444445,0.03849001794597505,3,0.3888888888888889,0.0769800358919501,3,0.6555555555555556,0.15752718754175365,3,0.26666666666666666,0.12018504251546633,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,qcnn,low_reupload|qcnn,low_reupload,low,z,1,2,loss,3,0.7162962962962963,0.07064371861265431,3,0.6388888888888888,0.06938886664887113,3,0.27777777777777773,0.13877773329774218,3,0.5555555555555555,0.06938886664887108,3,0.2777777777777778,0.18358568490953675,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,qnn,high_reupload|qnn,high_reupload,high,zz,5,2,loss,3,0.825925925925926,0.018801540957773415,3,0.7388888888888889,0.048112522432468774,3,0.4777777777777778,0.0962250448649376,3,0.6333333333333333,0.08819171036881966,3,0.15555555555555556,0.019245008972987518,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,qnn,low_reupload|qnn,low_reupload,low,z,1,2,loss,3,0.8351851851851851,0.045001143103908355,3,0.7333333333333334,0.028867513459481322,3,0.4666666666666666,0.0577350269189626,3,0.6666666666666666,0.033333333333333326,3,0.19999999999999998,0.06666666666666668,mean ± sample SD across independent target-model seeds; fixed data seed
