fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.9159119
0.05,0.025,0.8982586
0.05,0.075,0.8780663
0.075,0.075,0.8665968
0.075,0.125,0.8138744
0.1,0.125,0.76478726
0.1,0.25,0.56932217
0.15,0.25,0.5564241
0.15,0.3,0.5446096
0.2,0.3,0.5411577
0.2,0.35,0.5391964
0.3,0.35,0.53315264
0.3,0.375,0.53162926
0.35,0.375,0.5298147
0.35,0.4,0.52860665
0.375,0.4,0.5270523
0.375,0.5,0.52150565
0.4,0.5,0.5212234
0.4,0.525,0.5210624
0.425,0.525,0.51831853
0.425,0.575,0.5133943
0.475,0.575,0.5114563
0.475,0.6,0.50879425
0.525,0.6,0.50519156
0.525,0.625,0.50447637
0.675,0.625,0.48447004
0.675,0.65,0.4781194
0.75,0.65,0.4195664
0.75,0.7,0.40438715
0.775,0.7,0.3938553
0.775,0.75,0.37337026
0.85,0.75,0.35374305
0.85,0.9,0.30539507
0.975,0.9,0.26347706
0.975,1.0,0.1462063
1.0,1.0,0.073125124
