fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.7749103
0.025,0.075,0.74862504
0.125,0.075,0.70791364
0.125,0.15,0.67514193
0.15,0.15,0.6437003
0.15,0.175,0.63906413
0.225,0.175,0.62284714
0.225,0.2,0.62260765
0.25,0.2,0.6142096
0.25,0.225,0.61365306
0.275,0.225,0.61237794
0.275,0.3,0.6073575
0.35,0.3,0.6054263
0.35,0.325,0.5995672
0.375,0.325,0.5976403
0.375,0.375,0.58981645
0.4,0.375,0.5861689
0.4,0.425,0.56812775
0.475,0.425,0.54774266
0.475,0.475,0.53815544
0.575,0.475,0.524291
0.575,0.5,0.52371293
0.6,0.5,0.51742804
0.6,0.525,0.509655
0.625,0.525,0.5095405
0.625,0.55,0.5067157
0.65,0.55,0.48160133
0.65,0.575,0.4810932
0.725,0.575,0.47719178
0.725,0.6,0.47225195
0.75,0.6,0.44251016
0.75,0.775,0.3760045
0.825,0.775,0.36475247
0.825,0.8,0.35481507
0.85,0.8,0.3533972
0.85,0.825,0.3531497
0.875,0.825,0.35012376
0.875,0.875,0.34403995
0.9,0.875,0.33703837
0.9,0.95,0.27275044
0.975,0.95,0.2480493
0.975,0.975,0.24673708
1.0,0.975,0.23261793
1.0,1.0,0.13682185
