fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.60388887
0.0,0.05,0.60349625
0.05,0.05,0.6032007
0.05,0.075,0.60289174
0.1,0.075,0.59777325
0.1,0.1,0.5963427
0.125,0.1,0.5947622
0.125,0.15,0.5914204
0.225,0.15,0.59095967
0.225,0.225,0.585084
0.3,0.225,0.5768918
0.3,0.275,0.5655495
0.4,0.275,0.5145251
0.4,0.35,0.51278436
0.425,0.35,0.5118437
0.425,0.4,0.5094541
0.45,0.4,0.50916004
0.45,0.425,0.5079921
0.525,0.425,0.5055576
0.525,0.55,0.50490767
0.55,0.55,0.5048446
0.55,0.575,0.5024689
0.575,0.575,0.49843037
0.575,0.65,0.49676457
0.6,0.65,0.49652222
0.6,0.675,0.49603873
0.625,0.675,0.4956804
0.625,0.7,0.49501225
0.65,0.7,0.49456105
0.65,0.725,0.49251425
0.675,0.725,0.4918144
0.675,0.775,0.4896244
0.7,0.775,0.48789275
0.7,0.875,0.4854877
0.725,0.875,0.48424974
0.725,0.9,0.48082596
0.75,0.9,0.48034534
0.75,0.925,0.4709886
0.8,0.925,0.45962375
0.8,0.95,0.29852113
0.825,0.95,0.2960132
0.825,0.975,0.29500973
0.85,0.975,0.2905035
0.85,1.0,0.281504
1.0,1.0,0.11605772
