fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.71460575
0.025,0.025,0.7092157
0.05,0.025,0.6775044
0.05,0.075,0.64681196
0.375,0.075,0.58482385
0.375,0.15,0.5692718
0.45,0.15,0.55495626
0.45,0.175,0.553161
0.5,0.175,0.54736817
0.5,0.275,0.5333275
0.525,0.275,0.53311443
0.525,0.375,0.5161453
0.55,0.375,0.5101686
0.55,0.45,0.49335784
0.575,0.45,0.49146515
0.575,0.6,0.47461322
0.6,0.6,0.4741128
0.6,0.625,0.47391617
0.625,0.625,0.473889
0.625,0.675,0.47305623
0.775,0.675,0.46297848
0.775,0.725,0.4455989
0.8,0.725,0.4341811
0.8,0.775,0.4286124
0.825,0.775,0.42618445
0.825,0.875,0.42458504
0.85,0.875,0.42276964
0.85,0.925,0.4100757
0.925,0.925,0.34848207
0.925,0.95,0.34719405
0.95,0.95,0.3300879
0.95,1.0,0.25632614
1.0,1.0,0.16699725
