fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.8289724
0.0,0.1,0.80922395
0.05,0.1,0.8047195
0.05,0.2,0.7872009
0.075,0.2,0.7840091
0.075,0.225,0.7836322
0.1,0.225,0.780109
0.1,0.25,0.7731189
0.2,0.25,0.7186868
0.2,0.35,0.7000954
0.275,0.35,0.6832473
0.275,0.375,0.6822642
0.325,0.375,0.6754592
0.325,0.575,0.6339813
0.35,0.575,0.6324889
0.35,0.625,0.6206506
0.375,0.625,0.61537576
0.375,0.675,0.6149194
0.475,0.675,0.6054731
0.475,0.7,0.6029442
0.525,0.7,0.59975505
0.525,0.725,0.5963345
0.55,0.725,0.5896319
0.55,0.75,0.58941084
0.6,0.75,0.58097494
0.6,0.8,0.5669667
0.675,0.8,0.5481833
0.675,0.875,0.5360003
0.825,0.875,0.4903811
0.825,0.925,0.48657644
0.85,0.925,0.48236802
0.85,0.975,0.4464232
0.95,0.975,0.34524864
0.95,1.0,0.3435043
1.0,1.0,0.1315871
