fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.66744244
0.025,0.025,0.62079316
0.025,0.05,0.6198944
0.05,0.05,0.5966249
0.05,0.1,0.5901828
0.1,0.1,0.5746588
0.1,0.15,0.5574487
0.125,0.15,0.5566451
0.125,0.225,0.554598
0.15,0.225,0.55155337
0.15,0.25,0.5491808
0.175,0.25,0.5483264
0.175,0.275,0.54525274
0.2,0.275,0.5434502
0.2,0.3,0.5432081
0.225,0.3,0.53993344
0.225,0.325,0.5395857
0.3,0.325,0.53574127
0.3,0.35,0.53462476
0.325,0.35,0.5331232
0.325,0.4,0.531316
0.375,0.4,0.5270048
0.375,0.475,0.5216305
0.425,0.475,0.52147126
0.425,0.525,0.5210133
0.475,0.525,0.5207864
0.475,0.55,0.5207346
0.5,0.55,0.52054834
0.5,0.6,0.5179137
0.55,0.6,0.51641524
0.55,0.625,0.5159245
0.575,0.625,0.51588047
0.575,0.65,0.5158606
0.65,0.65,0.51428646
0.65,0.675,0.5140523
0.675,0.675,0.51284474
0.675,0.725,0.51201415
0.725,0.725,0.50162005
0.725,0.775,0.4986869
0.775,0.775,0.4971501
0.775,0.8,0.4931434
0.825,0.8,0.48781127
0.825,0.85,0.454815
0.85,0.85,0.4251936
0.85,0.9,0.40706372
0.925,0.9,0.30517596
0.925,0.975,0.13350028
0.95,0.975,0.124560565
0.95,1.0,0.10671607
1.0,1.0,0.0057873013
