fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7155237
0.0,0.05,0.7137672
0.025,0.05,0.6993783
0.025,0.1,0.6481157
0.15,0.1,0.62678415
0.15,0.15,0.6204984
0.2,0.15,0.6110218
0.2,0.225,0.6091773
0.25,0.225,0.60107416
0.25,0.3,0.5769551
0.275,0.3,0.5746304
0.275,0.45,0.5515207
0.325,0.45,0.5509292
0.325,0.575,0.5477353
0.525,0.575,0.5322584
0.525,0.6,0.5275619
0.55,0.6,0.52514344
0.55,0.65,0.51344883
0.6,0.65,0.49327627
0.6,0.775,0.47690985
0.625,0.775,0.47652233
0.625,0.8,0.47484756
0.75,0.8,0.46833655
0.75,0.825,0.4681699
0.85,0.825,0.46769843
0.85,0.925,0.43278438
0.875,0.925,0.4304414
0.875,0.975,0.12349151
0.975,0.975,0.024077171
0.975,1.0,0.020693952
1.0,1.0,0.02004192
