fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.81579626
0.075,0.0,0.81034446
0.075,0.075,0.79627246
0.1,0.075,0.7817011
0.1,0.175,0.73077506
0.15,0.175,0.69887567
0.15,0.225,0.692629
0.2,0.225,0.673579
0.2,0.35,0.65416235
0.225,0.35,0.6461403
0.225,0.425,0.5749494
0.25,0.425,0.57395536
0.25,0.45,0.5720531
0.3,0.45,0.57093424
0.3,0.5,0.56836736
0.35,0.5,0.56626034
0.35,0.575,0.56373054
0.4,0.575,0.5617001
0.4,0.65,0.5574417
0.425,0.65,0.5572595
0.425,0.675,0.5526809
0.45,0.675,0.53194135
0.45,0.75,0.49560928
0.5,0.75,0.4944653
0.5,0.775,0.49442098
0.525,0.775,0.49423656
0.525,0.8,0.49368206
0.55,0.8,0.49316862
0.55,0.825,0.48920944
0.575,0.825,0.48821425
0.575,0.9,0.48351574
0.6,0.9,0.4821411
0.6,0.925,0.4788381
0.725,0.925,0.32368574
0.725,0.95,0.24019948
0.8,0.95,0.20536335
0.8,0.975,0.20167351
0.825,0.975,0.1842757
0.825,1.0,0.15898466
1.0,1.0,0.018086841
