target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p05,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
SmokeFactorial_z_r5_d6_s44,loss,0.7144444444444444,0.65,0.7496666666666666,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,44,43,44,z_r5_d6,,0.55,0.10000000000000003,0.4,0.3,-0.4901280701160431,2,0.23333333333333334,0.03333333333333333,1.5,False,0.3333333333333333,0.1,3.0,True
SmokeFactorial_z_r5_d6_s45,loss,0.7877777777777778,0.7664444444444444,0.8373333333333333,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,45,43,45,z_r5_d6,,0.6333333333333333,0.2666666666666667,0.7666666666666667,0.5,-0.5498160123825073,2,0.3333333333333333,0.03333333333333333,1.5,False,0.4666666666666667,0.1,3.0,True
SmokeFactorial_zz_r1_d2_s43,loss,0.5855555555555556,0.567,0.692,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,43,43,43,zz_r1_d2,,0.5333333333333333,0.06666666666666665,0.6666666666666666,0.6,-0.671098381280899,2,0.1,0.03333333333333333,1.5,False,0.13333333333333333,0.1,3.0,True
SmokeFactorial_zz_r1_d2_s44,loss,0.74,0.7100000000000001,0.8494444444444444,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,44,43,44,zz_r1_d2,,0.65,0.30000000000000004,0.7666666666666667,0.4666666666666667,-0.6048378646373749,2,0.26666666666666666,0.0,1.5,False,0.3,0.1,3.0,True
SmokeFactorial_zz_r1_d2_s45,loss,0.7966666666666666,0.6956666666666668,0.8485555555555556,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,45,43,45,zz_r1_d2,,0.6499999999999999,0.3,0.6333333333333333,0.3333333333333333,-0.5610946416854858,2,0.4,0.03333333333333333,1.5,False,0.5333333333333333,0.1,3.0,True
SmokeFactorial_zz_r1_d6_s43,loss,0.59,0.5655555555555556,0.6067777777777777,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,43,43,43,zz_r1_d6,,0.5666666666666667,0.13333333333333333,0.3,0.16666666666666666,-0.4539860934019089,2,0.06666666666666667,0.0,1.5,False,0.26666666666666666,0.1,3.0,True
SmokeFactorial_zz_r1_d6_s44,loss,0.6922222222222222,0.6064444444444446,0.7840000000000001,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,44,43,44,zz_r1_d6,,0.6,0.20000000000000007,0.9,0.7,-0.6812149584293365,2,0.13333333333333333,0.03333333333333333,1.5,False,0.3,0.1,3.0,True
SmokeFactorial_zz_r1_d6_s45,loss,0.8233333333333334,0.7395555555555555,0.8962222222222223,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,45,43,45,zz_r1_d6,,0.8,0.6,0.7333333333333333,0.13333333333333333,-0.4731648862361908,2,0.16666666666666666,0.03333333333333333,1.5,False,0.7333333333333333,0.1,3.0,True
SmokeFactorial_zz_r5_d2_s43,loss,0.6788888888888889,0.5512222222222223,0.783888888888889,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,zz_r5_d2,,0.5666666666666667,0.13333333333333336,0.5,0.36666666666666664,-0.5361313968896866,2,0.13333333333333333,0.03333333333333333,1.5,False,0.2,0.1,3.0,True
SmokeFactorial_zz_r5_d2_s44,loss,0.5922222222222222,0.4588888888888889,0.6167777777777778,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,44,43,44,zz_r5_d2,,0.5333333333333333,0.06666666666666665,0.8333333333333334,0.7666666666666667,-0.7027722001075745,2,0.16666666666666666,0.03333333333333333,1.5,False,0.2,0.06666666666666667,3.0,True
SmokeFactorial_zz_r5_d2_s45,loss,0.7000000000000001,0.5974444444444443,0.7084444444444444,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,45,43,45,zz_r5_d2,,0.6499999999999999,0.29999999999999993,0.7333333333333333,0.43333333333333335,-0.6027745604515076,2,0.26666666666666666,0.03333333333333333,1.5,False,0.3,0.06666666666666667,3.0,True
SmokeFactorial_zz_r5_d6_s43,loss,0.6599999999999999,0.6921111111111111,0.7727777777777778,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,43,43,43,zz_r5_d6,,0.6499999999999999,0.3,0.6333333333333333,0.3333333333333333,-0.58919358253479,2,0.06666666666666667,0.03333333333333333,1.5,False,0.26666666666666666,0.1,3.0,True
SmokeFactorial_zz_r5_d6_s44,loss,0.7833333333333333,0.7285555555555556,0.8597777777777779,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,44,43,44,zz_r5_d6,,0.7666666666666666,0.5333333333333334,0.8,0.26666666666666666,-0.5396819114685059,2,0.13333333333333333,0.0,1.5,False,0.5,0.1,3.0,True
SmokeFactorial_zz_r5_d6_s45,loss,0.7444444444444445,0.6013333333333333,0.7721111111111112,5,30,30,0.03333333333333333,0=member,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,5,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,45,43,45,zz_r5_d6,,0.7333333333333334,0.46666666666666673,0.7666666666666667,0.3,-0.5146397948265076,2,0.16666666666666666,0.03333333333333333,1.5,False,0.26666666666666666,0.1,3.0,True
