experiment,dataset,architecture,structural_cell_id,role,fm_kind,reps,depth,n_wires,train_acc_count,train_acc_mean,train_acc_std,valid_acc_count,valid_acc_mean,valid_acc_std,test_acc_count,test_acc_mean,test_acc_std,train_loss_count,train_loss_mean,train_loss_std,valid_loss_count,valid_loss_mean,valid_loss_std,test_loss_count,test_loss_mean,test_loss_std,gap_count,gap_mean,gap_std,error_bar_type
architecture_control,MNIST,HQNN,eff_control|hqnn,eff_control,eff_su2,1,2,6,3,1.0,0.0,3,0.9750000238418579,0.0,3,0.9683333436648051,0.0076376513914597245,3,0.006922271413107713,0.0018898862816694858,3,0.09397036830584209,0.019714947401137013,3,0.08008752514918645,0.013558736837645557,3,0.03166665633519491,0.007637651391459712,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,HQNN,high_reupload|hqnn,high_reupload,zz,5,6,6,3,0.903333326180776,0.16743159045358424,3,0.8233333428700765,0.1934769456380691,3,0.8216666777928671,0.18790511052052486,3,0.26066969335079193,0.3924071777983283,3,0.40544068813323975,0.3385251324607092,3,0.3860146055618922,0.353058736861895,3,0.08166664838790894,0.022546227262336092,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,HQNN,low_reupload|hqnn,low_reupload,z,1,2,6,3,0.7600000003973643,0.4156921931282754,3,0.7166666587193807,0.4001978642469371,3,0.7416666646798452,0.3480780511373023,3,0.46747638781865436,0.7886617978191897,3,0.5776727000872294,0.7009247691534837,3,0.593116338054339,0.6833589374124311,3,0.018333335717519123,0.06898067552288778,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QCNN,eff_control|qcnn,eff_control,eff_su2,1,2,6,3,0.8333333532015482,0.020207274563250277,3,0.8083333174387614,0.03253203500466028,3,0.8316666682561239,0.03329164315860657,3,0.4023313721021016,0.03003162804978718,3,0.4797643224398295,0.040524917929600036,3,0.4645287096500397,0.03643718179598145,3,0.0016666849454243977,0.027537857137508337,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QCNN,high_reupload|qcnn,high_reupload,zz,5,6,6,3,0.9599999785423279,0.004999995231628418,3,0.8266666730244955,0.016072769934077965,3,0.7916666865348816,0.007637618874451828,3,0.16881595055262247,0.019299598562977836,3,0.4574822386105855,0.04733829134891339,3,0.490043838818868,0.0348606488357249,3,0.1683332920074463,0.010408320071173668,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QCNN,low_reupload|qcnn,low_reupload,z,1,2,6,3,0.9283333420753479,0.0028867485929275124,3,0.8650000095367432,0.009999990463256836,3,0.8766666650772095,0.007637618874451828,3,0.22208491464455923,0.025967503284716635,3,0.3343287209669749,0.03608678526949061,3,0.3316813309987386,0.01779941818558288,3,0.05166667699813843,0.007637618874451828,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QNN,eff_control|qnn,eff_control,eff_su2,1,2,6,3,0.6899999976158142,0.013228743939397589,3,0.7050000031789144,0.01322877773205642,3,0.6666666666666666,0.012583073023894198,3,0.7883151372273763,0.006328806111355608,3,0.7501179774602255,0.005838814686711738,3,0.8262017170588175,0.02477800824745535,3,0.02333333094914754,0.017559409004195333,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QNN,high_reupload|qnn,high_reupload,zz,5,6,6,3,0.7916666666666666,0.023629089230319145,3,0.5316666762034098,0.010408353476512996,3,0.5383333365122477,0.01527526376251992,3,0.642726997534434,0.06215846508014909,3,1.039199431737264,0.050477242595053436,3,1.0275429884592693,0.03351092962370608,3,0.25333333015441895,0.02843123405370367,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,QNN,low_reupload|qnn,low_reupload,z,1,2,6,3,0.7933333516120911,0.007637618874451828,3,0.7266666690508524,0.012583073023894185,3,0.725000003973643,0.0180277639817586,3,0.5105363031228384,0.021215547058537003,3,0.6217832763989767,0.009321610374656845,3,0.6474753419558207,0.03137855062732877,3,0.06833334763844807,0.025658007894157953,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,mlp_qnn,eff_control|mlp_qnn,eff_control,eff_su2,1,2,6,3,0.903333306312561,0.0028867485929275124,3,0.8100000023841858,0.009999990463256836,3,0.7833333412806193,0.007637651391459716,3,0.2854402959346771,0.028316384592849856,3,0.5710688432057699,0.022893375785562668,3,0.6727945407231649,0.019968898670433197,3,0.11999996503194173,0.010000020265594026,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,mlp_qnn,high_reupload|mlp_qnn,high_reupload,zz,5,6,6,3,0.9516666730244955,0.03403429753693485,3,0.8349999785423279,0.008660245778782537,3,0.800000011920929,0.008660245778782537,3,0.14968727032343546,0.06997206424059552,3,0.5301439662774404,0.06240859229861276,3,0.5959531863530477,0.06801453089919382,3,0.1516666611035665,0.04041451225569078,mean ± sample SD across independent target-model seeds; fixed data seed
architecture_control,MNIST,mlp_qnn,low_reupload|mlp_qnn,low_reupload,z,1,2,6,3,0.903333306312561,0.0028867485929275124,3,0.8100000023841858,0.009999990463256836,3,0.7833333412806193,0.007637651391459716,3,0.2854402959346771,0.028316384592849856,3,0.5710688432057699,0.022893375785562668,3,0.6727945407231649,0.019968898670433197,3,0.11999996503194173,0.010000020265594026,mean ± sample SD across independent target-model seeds; fixed data seed
