fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6979105
0.05,0.0,0.6946258
0.05,0.1,0.6803437
0.075,0.1,0.6788185
0.075,0.125,0.6778857
0.125,0.125,0.65313476
0.125,0.15,0.6376881
0.15,0.15,0.620033
0.15,0.2,0.6143057
0.175,0.2,0.6022122
0.175,0.225,0.5982216
0.2,0.225,0.5981361
0.2,0.275,0.585437
0.225,0.275,0.58007705
0.225,0.3,0.57848465
0.325,0.3,0.547859
0.325,0.325,0.5458199
0.35,0.325,0.54195917
0.35,0.35,0.54118776
0.425,0.35,0.52665454
0.425,0.375,0.52501273
0.475,0.375,0.5237138
0.475,0.4,0.5212597
0.5,0.4,0.5139849
0.5,0.55,0.50491995
0.6,0.55,0.5001559
0.6,0.575,0.49984154
0.625,0.575,0.49345222
0.625,0.6,0.48935544
0.65,0.6,0.48863095
0.65,0.625,0.48264384
0.675,0.625,0.482285
0.675,0.65,0.4822428
0.75,0.65,0.47338516
0.75,0.725,0.4618227
0.8,0.725,0.444753
0.8,0.75,0.4427249
0.825,0.75,0.4425583
0.825,0.8,0.4333726
0.85,0.8,0.42970026
0.85,0.875,0.40918678
0.875,0.875,0.39550132
0.875,0.975,0.3542207
0.95,0.975,0.24428092
0.95,1.0,0.16008355
1.0,1.0,0.09769586
