fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.64689964
0.0,0.075,0.60007596
0.025,0.075,0.59874314
0.025,0.2,0.53606975
0.05,0.2,0.5327586
0.05,0.25,0.531586
0.075,0.25,0.53024685
0.075,0.275,0.5300883
0.1,0.275,0.52965564
0.1,0.3,0.5286445
0.125,0.3,0.52840334
0.125,0.375,0.5219513
0.15,0.375,0.51687723
0.15,0.4,0.5157097
0.2,0.4,0.5093127
0.2,0.425,0.5040125
0.225,0.425,0.5029401
0.225,0.45,0.5021612
0.275,0.45,0.5005103
0.275,0.475,0.5004029
0.4,0.475,0.49024087
0.4,0.5,0.48991007
0.425,0.5,0.4891986
0.425,0.55,0.48845118
0.5,0.55,0.48602134
0.5,0.625,0.48256245
0.6,0.625,0.4779019
0.6,0.675,0.47468495
0.7,0.675,0.4731415
0.7,0.7,0.46973926
0.725,0.7,0.46938732
0.725,0.725,0.46831065
0.75,0.725,0.46723843
0.75,0.75,0.46541512
0.775,0.75,0.46508664
0.775,0.775,0.4613474
0.85,0.775,0.45827305
0.85,0.8,0.4558888
0.875,0.8,0.45085216
0.875,0.925,0.433042
0.95,0.925,0.39919335
0.95,0.95,0.39915335
0.975,0.95,0.37712392
0.975,1.0,0.37656975
1.0,1.0,0.34708875
