fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7051561
0.0,0.05,0.7040623
0.125,0.05,0.63860595
0.125,0.125,0.61278844
0.15,0.125,0.608128
0.15,0.25,0.5811796
0.175,0.25,0.58080673
0.175,0.275,0.58065486
0.225,0.275,0.5796501
0.225,0.35,0.57897896
0.25,0.35,0.57891405
0.25,0.4,0.5782044
0.3,0.4,0.57705295
0.3,0.45,0.5726773
0.35,0.45,0.54521465
0.35,0.475,0.54359055
0.375,0.475,0.5430481
0.375,0.55,0.53851837
0.4,0.55,0.5364783
0.4,0.6,0.535422
0.475,0.6,0.53080475
0.475,0.675,0.51607466
0.55,0.675,0.50259286
0.55,0.7,0.49335292
0.575,0.7,0.4920145
0.575,0.75,0.4747944
0.6,0.75,0.47458455
0.6,0.775,0.47443545
0.625,0.775,0.47399443
0.625,0.825,0.47272018
0.65,0.825,0.47227767
0.65,0.85,0.4721632
0.675,0.85,0.472077
0.675,0.875,0.4720096
0.725,0.875,0.4716848
0.725,0.975,0.4705751
0.85,0.975,0.4696286
0.85,1.0,0.46931374
1.0,1.0,0.035481814
