target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,zz_r5_d2,45,MNIST,QNN,1046,zz,6,5,wrap,linear,,2,linear,crz,False,0.495,0.35,0.145,200,200,200,16,100,False,45,43,zz_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d2_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d2_s45/target_model.pt,74,46,28,0,74,46,28,0,451,291,160,"{""crz"": 10, ""cx"": 150, ""rx"": 12, ""ry"": 12, ""rz"": 12, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_zz_r5_d6_s43,multiseed_factorial,zz_r5_d6,43,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,43,43,zz_r5_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s43/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_zz_r5_d6_s44,multiseed_factorial,zz_r5_d6,44,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,44,43,zz_r5_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s44/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_zz_r5_d6_s45,multiseed_factorial,zz_r5_d6,45,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,45,43,zz_r5_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_zz_r5_d6_s45/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,eff_su2_r1_d2,43,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s43/target_model.pt,74,46,28,0,74,46,28,0,63,48,15,"{""crz"": 10, ""cx"": 5, ""rx"": 12, ""ry"": 18, ""rz"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,eff_su2_r1_d2,44,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_model.pt,74,46,28,0,74,46,28,0,63,48,15,"{""crz"": 10, ""cx"": 5, ""rx"": 12, ""ry"": 18, ""rz"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,eff_su2_r1_d2,45,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,45,43,eff_su2_r1_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_model.pt,74,46,28,0,74,46,28,0,63,48,15,"{""crz"": 10, ""cx"": 5, ""rx"": 12, ""ry"": 18, ""rz"": 18}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d6_s43,multiseed_factorial,eff_su2_r1_d6,43,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,43,43,eff_su2_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_model.pt,166,138,28,0,166,138,28,0,155,120,35,"{""crz"": 30, ""cx"": 5, ""rx"": 36, ""ry"": 42, ""rz"": 42}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d6_s44,multiseed_factorial,eff_su2_r1_d6,44,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,44,43,eff_su2_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s44/target_model.pt,166,138,28,0,166,138,28,0,155,120,35,"{""crz"": 30, ""cx"": 5, ""rx"": 36, ""ry"": 42, ""rz"": 42}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r1_d6_s45,multiseed_factorial,eff_su2_r1_d6,45,MNIST,QNN,1646,eff_su2,6,1,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,45,43,eff_su2_r1_d6,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s45/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s45/target_model.pt,166,138,28,0,166,138,28,0,155,120,35,"{""crz"": 30, ""cx"": 5, ""rx"": 36, ""ry"": 42, ""rz"": 42}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r5_d2_s43,multiseed_factorial,eff_su2_r5_d2,43,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,43,43,eff_su2_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s43/target_model.pt,74,46,28,0,74,46,28,0,131,96,35,"{""crz"": 10, ""cx"": 25, ""rx"": 12, ""ry"": 42, ""rz"": 42}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
MNIST_QNN_eff_su2_r5_d2_s44,multiseed_factorial,eff_su2_r5_d2,44,MNIST,QNN,1766,eff_su2,6,5,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.155,200,200,200,16,100,False,44,43,eff_su2_r5_d2,0.05,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_attack_data.pt,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d2_s44/target_model.pt,74,46,28,0,74,46,28,0,131,96,35,"{""crz"": 10, ""cx"": 25, ""rx"": 12, ""ry"": 42, ""rz"": 42}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
